,DOMAIN,YEAR_MONTH,ALL_TRAFFIC_VISITS
30111,doordash.com,2023-12,72037899.69307443
30112,doordash.com,2024-01,69735517.95850296
30113,doordash.com,2024-02,68799552.47555506
30114,doordash.com,2024-03,73556829.52213693
30115,doordash.com,2024-04,69479672.2538657
30116,doordash.com,2024-05,74008563.46067934
30117,doordash.com,2024-06,71324842.4870607
30118,doordash.com,2024-07,72674923.07169689
30119,doordash.com,2024-08,69890156.14947468
30120,doordash.com,2024-09,67937358.79424913
30121,doordash.com,2024-10,69217051.52195345
30122,doordash.com,2024-11,69580226.66895717
30123,doordash.com,2024-12,74541375.67427541
30124,doordash.com,2025-01,58218680.85957592
30125,doordash.com,2025-02,66179584.38377288
