,DOMAIN,YEAR_MONTH,ALL_TRAFFIC_VISITS
106007,ubereats.com,2023-12,48212395.49100563
106008,ubereats.com,2024-01,46744406.61006945
106009,ubereats.com,2024-02,44938016.17077962
106010,ubereats.com,2024-03,48459749.6505166
106011,ubereats.com,2024-04,47794183.03675162
106012,ubereats.com,2024-05,52176068.32153302
106013,ubereats.com,2024-06,51099909.06266666
106014,ubereats.com,2024-07,53119811.45355312
106015,ubereats.com,2024-08,51919794.5787486
106016,ubereats.com,2024-09,48642268.72370994
106017,ubereats.com,2024-10,49798340.311394334
106018,ubereats.com,2024-11,50047566.930179
106019,ubereats.com,2024-12,56092055.3734281
106020,ubereats.com,2025-01,44169044.17971408
106021,ubereats.com,2025-02,50771678.88034104
