BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,2000973.1800000002,102098627.9
NIKE,683468.54,82676732.36
VICTORIA'S SECRET,1299793.85,78022569.74
LULULEMON,573343.0499999999,71179362.00999999
AMERICAN EAGLE,1028907.36,66993783.89
GOODWILL,2937689.7,66033632.49
DSW SHOE WAREHOUSE,906539.49,62726111.2
H&M,1281789.05,60107287.48
ZARA,639936.18,52824193.8
ADIDAS,553809.5800000001,45922582.52
ANTHROPOLOGIE,414693.88,45645257.97
MEN'S WEARHOUSE,185317.07,39570790.480000004
NIKE FACTORY,462759.79,38356988.29
FOOT LOCKER,321486.8,37794731.24
REVOLVE,160526.41,37243412.24
POSHMARK,827093.29,35542870.05
GAP,557434.53,29586958.240000002
KAY JEWELERS,95563.99,28742736.73
HOLLISTER,442121.5,24822592.310000002
SHEIN,449133.92,23208677.51
LL BEAN,234779.25,22504967.51
BOOT BARN,170920.23,21294458.27
ABERCROMBIE & FITCH,255542.02,20932834.34
SKECHERS,251502.01,18714540.96
FREE PEOPLE,153003.18,18616812.79
FANATICS,205061.5,15205580.99
