BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,5024039.71,225816175.35
NIKE,1695828.57,196055572.19
LULULEMON,1149586.72,134255100.95
AMERICAN EAGLE,2039620.04,133311265.58
VICTORIA'S SECRET,1977217.2,126762873.16
DSW SHOE WAREHOUSE,1689977.4,105877015.35
GOODWILL,4207820.01,98937018.61
H&M,1882498.61,93116066.11
SHEIN,1549089.85,91268630.77
ADIDAS,1129998.95,89432143.16
ANTHROPOLOGIE,848264.06,87132585.43
FOOT LOCKER,720074.66,79455977.71000001
POSHMARK,1847552.31,77254375.47
ZARA,871991.55,75117626.33
REVOLVE,302333.41,64434781.46
GAP,1314307.57,61847415.58
NIKE FACTORY,629251.37,54403150.62
HOLLISTER,846374.99,50980197.06
MEN'S WEARHOUSE,223279.27,46080578.910000004
ABERCROMBIE & FITCH,513484.52,43835210.57
KAY JEWELERS,136420.01,43713691.88
LL BEAN,403518.55,39544577.83
FREE PEOPLE,341777.18,39316259.29
BOOT BARN,302887.59,38777933.64
SKECHERS,514057.63,37336451.03
FANATICS,541641.24,36410504.07
