BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,7564645.43,506145722.26
NIKE,3473934.7800000003,446287341.33
OLD NAVY,6595227.390000001,366933894.28
LULULEMON,2825027.77,349953502.13
ZARA,2651039.02,287230876.08
GOODWILL,9816160.79,265003854.63
VICTORIA'S SECRET,2907236.83,200230439.99
DSW SHOE WAREHOUSE,2535512.24,199174104.13
ANTHROPOLOGIE,1204285.79,197905570.04
H&M,3506892.32,197369304.19
AMERICAN EAGLE,2558014.68,193177721.41
REVOLVE,624867.15,174989673.03
NIKE FACTORY,1716639.08,161486939.8
ABERCROMBIE & FITCH,1218406.66,148121899.98
ADIDAS,1501574.4,146248600.73000002
MEN'S WEARHOUSE,682248.18,135522641.92
POSHMARK,2393556.5,124258309.81
BOOT BARN,765955.1,106365157.22
FOOT LOCKER,933564.34,106292064.65
GAP,1743780.19,103740283.49
SKECHERS,1103105.8,99638143.25
FREE PEOPLE,678051.5599999999,98088806.51
KAY JEWELERS,205077.58000000002,94004968.88
FANATICS,828941.4600000001,74445945.99
HOLLISTER,1124499.46,73047955.3
LL BEAN,631355.82,69170748.94
