BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,10207948.12,671627535.52
NIKE,4519280.54,580618688.18
OLD NAVY,8516369.61,480545381.9
LULULEMON,3626616.39,452419951.16
ZARA,3319495.57,359014746.24
GOODWILL,12834291.57,345109131.99
AMERICAN EAGLE,3392031.74,260616706.01000002
DSW SHOE WAREHOUSE,3310302.24,259060890.44
H&M,4506133.77,256669750.02
ANTHROPOLOGIE,1576991.6300000001,256617557.56
VICTORIA'S SECRET,3602580.2399999998,248724159.98000002
REVOLVE,786406.49,223713488.92
NIKE FACTORY,2209640.75,208682539.75
ADIDAS,2048564.8699999999,200673705.89000002
ABERCROMBIE & FITCH,1611682.67,199632815.02
MEN'S WEARHOUSE,879749.55,176083744.63
POSHMARK,3116837.2600000002,158533508.49
FOOT LOCKER,1258073.35,142749368.29
GAP,2303119.69,141182488.29
BOOT BARN,982803.92,136851103.72
SKECHERS,1437433.97,129786472.66
FREE PEOPLE,876743.5399999999,127012796.34
KAY JEWELERS,254280.63,117489705.89
FANATICS,1201317.47,106276427.55
HOLLISTER,1525583.04,100297882.43
LL BEAN,816882.7,91080765.14
