BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,11743948.14,607197964.18
VICTORIA'S SECRET,6238464,368297666.55
H&M,7428602.72,348791378.77
DSW SHOE WAREHOUSE,4854858.1,344561913.5
AMERICAN EAGLE,5076583.23,341851719.89
NIKE,2451215.66,298073994.97
GOODWILL,13188736.48,289019964.27
LULULEMON,2149158.34,275679634.89
ZARA,2780860.93,248385136.29999998
ANTHROPOLOGIE,2038365.94,240476753.65
NIKE FACTORY,2584254.1,207961284.85
MEN'S WEARHOUSE,966169.88,204361300.55
GAP,3337045.8000000003,184962821.42
FOOT LOCKER,1509973.75,171228453.79
ADIDAS,2113001.59,168785604.06
REVOLVE,627682.38,156076677.29
HOLLISTER,2263055.42,131529025.35000001
POSHMARK,3092736.93,126464077.8
KAY JEWELERS,387934.43,116944958.53
LL BEAN,1007604.4,101199689.67
ABERCROMBIE & FITCH,1221571.98,95141657.57000001
BOOT BARN,709896.03,89889182.51
SKECHERS,1225796.15,88633648.7
FREE PEOPLE,704261.93,84458162.08
FANATICS,978942.57,72873697.87
SHEIN,1259506.99,69904797.44
