BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,5419987.05,309050242.36
NIKE,2042620.25,250454015.37
SHEIN,3038846.4,203445092.71
VICTORIA'S SECRET,2491705.55,186802305.82
LULULEMON,1474730.93,176728412.25
AMERICAN EAGLE,2157683.74,163473603.65
ZARA,1594978.6400000001,162567941.16
H&M,2941664.5300000003,154460057.49
GOODWILL,5752198.78,147680946.92000002
DSW SHOE WAREHOUSE,1804028.23,128969521.4
ANTHROPOLOGIE,905149.11,100589331.60000001
NIKE FACTORY,1008571.81,94813250.11
POSHMARK,1801367.37,85020169.41
ADIDAS,952334.49,84443133.3
FOOT LOCKER,677344.5700000001,80939892.69
KAY JEWELERS,196599.53,79178756.07000001
GAP,1352568.28,78256383.13000001
REVOLVE,323803.12,76520961.34
ABERCROMBIE & FITCH,588101.52,62384397.76
MEN'S WEARHOUSE,367729.68,62149214.25
HOLLISTER,836697.4400000001,57711326.33
BOOT BARN,414478.57,56131175.99
SKECHERS,660731.02,53520978.79
FREE PEOPLE,412378.39,50950901.68
LL BEAN,536983.27,50539637.88
FANATICS,438727.73,33224936.91
