BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,5103327.87,260108295.19
OLD NAVY,2267622.7,132918416.63
LULULEMON,1057291.53,127245577.92
GOODWILL,4568677.51,121627368.2
NIKE,935219.06,119448622.99
ZARA,876157.63,89136658.03
ANTHROPOLOGIE,564731.73,79711702.28
VICTORIA'S SECRET,1091409.08,75325383.23
AMERICAN EAGLE,989892.26,73689187.16
DSW SHOE WAREHOUSE,825055.69,65996206.620000005
ABERCROMBIE & FITCH,564187.25,63677261.93
H&M,1094554.94,63660626.12
REVOLVE,211503.51,62663379.71
NIKE FACTORY,566280.46,52078731.11
POSHMARK,1033743.02,49646582.6
BOOT BARN,354497.3,48492485.88
MEN'S WEARHOUSE,237006.03,47354804.8
FOOT LOCKER,342509.56,42813652.7
GAP,668694.04,42067902.68
SKECHERS,477305,41902015.13
KAY JEWELERS,83601.95,39544497.04
FREE PEOPLE,292536.8,37976741.77
HOLLISTER,543141.47,36656832.5
ADIDAS,392611.49,33221579.75
LL BEAN,282643.46,31418236.8
FANATICS,344276.12,31030265.55
