BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,6792662.9,386230024.75
NIKE,2492739.64,304843992.9
SHEIN,3801109.94,259087965.19
VICTORIA'S SECRET,3022053.9,226774657.71
LULULEMON,1812539.24,218265649.96
ZARA,2036932.37,211784752.89000002
AMERICAN EAGLE,2654592.45,201496224.68
H&M,3662701.74,190209285.12
GOODWILL,6960075.05,178829796.7
DSW SHOE WAREHOUSE,2245760.23,160601757.2
ANTHROPOLOGIE,1080372.77,124834876.38
NIKE FACTORY,1234464.34,115762562.91
ADIDAS,1166501.45,105051401.39
POSHMARK,2129374.45,100715759.88000001
FOOT LOCKER,831871.36,98567275.59
REVOLVE,406179.09,96279307.53999999
GAP,1637937.1,96103649.56
KAY JEWELERS,226845.03,93259731.48
MEN'S WEARHOUSE,466914.62,77764237.54
ABERCROMBIE & FITCH,712393.35,76163775.4
HOLLISTER,1026126.49,70513503.21
BOOT BARN,511353.5,68928283.47
SKECHERS,806477.72,65497440.92
FREE PEOPLE,514109.98,63469446.74
LL BEAN,621448.42,58322075.72
FANATICS,507053.44,38942596.52
