BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,895174.8300000001,113334696.14
SHEIN,1571867.69,103027671.94
LULULEMON,795783.6,96455249.88
OLD NAVY,1356693.53,74383366.28
GOODWILL,2612828.8200000003,69919951.36
ZARA,678216.88,64366311.43
VICTORIA'S SECRET,805503.42,55765830.68
H&M,842174.4,48173207.769999996
ANTHROPOLOGIE,288808.5,45970773.81
REVOLVE,167515.47,45027272.22
DSW SHOE WAREHOUSE,534369.73,43699689.18
AMERICAN EAGLE,586269.87,43224153.14
NIKE FACTORY,407827.09,37843064.54
ABERCROMBIE & FITCH,323497.88,37213394.28
POSHMARK,662113.63,34962097.76
MEN'S WEARHOUSE,176979.87,32713726.21
KAY JEWELERS,67524.47,29441489.23
BOOT BARN,208410.76,27961046.35
FANATICS,255869.14,26416102.9
ADIDAS,325078.20999999996,25819790.75
FOOT LOCKER,222020.28,25005371.87
LL BEAN,221833.06,24091626.77
FREE PEOPLE,160148.77,23256383.970000003
GAP,414010.89,22616169.490000002
SKECHERS,246051.1,21400168.1
HOLLISTER,267977.17,16927718.75
