BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,6420024.22,286158308.35
NIKE,2044996.92,236851943.82
LULULEMON,1469721.63,168523137.48
AMERICAN EAGLE,2475761.11,161654890.59
VICTORIA'S SECRET,2403420.98,157149082.8
DSW SHOE WAREHOUSE,2028058.33,124896848.35
GOODWILL,5145790.09,121951452.28
H&M,2418883.3000000003,118140385.89
SHEIN,1963719.11,116893825.21
ADIDAS,1362650.59,107496526.39
ANTHROPOLOGIE,1037790.17,105351948.45
FOOT LOCKER,881433.6,97741745.99000001
ZARA,1090231.76,93150641.14
POSHMARK,2180259.52,91424755.75
GAP,1646811.13,76758188.03
REVOLVE,360874.57,75796794.03
NIKE FACTORY,796235.56,70231449.62
HOLLISTER,1041229.97,63628735.25
ABERCROMBIE & FITCH,635690.13,54468587.67
MEN'S WEARHOUSE,269975.33,54091693.620000005
KAY JEWELERS,157166.48,53590545.95
FREE PEOPLE,418328.57,48138739.29
LL BEAN,474218.84,45642181.370000005
SKECHERS,626530.4,45456301.480000004
BOOT BARN,354988.46,45398765.620000005
FANATICS,631480.82,42382582.62
