BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,3621332.87,216136811.42
NIKE,1256504.08,160952976.71
OLD NAVY,2536930.08,142899065.99
LULULEMON,1139052.63,136795216.24
GOODWILL,4310004.05,116159611.63
ZARA,949985.14,96212181.68
ANTHROPOLOGIE,530848.68,77817745.3
AMERICAN EAGLE,1032804.06,77057009.34
VICTORIA'S SECRET,1133315.62,76741491.46000001
ABERCROMBIE & FITCH,588706.14,74898927.73
DSW SHOE WAREHOUSE,938923.4,72960413.23
H&M,1171912.49,68119181.96
REVOLVE,227381.13,66468169.08
NIKE FACTORY,592979.41,55604970.370000005
POSHMARK,1091845.47,54438506.53
MEN'S WEARHOUSE,251938.04,51012860.53
BOOT BARN,320063.2,43995716.12
ADIDAS,504416.1,43492262.82
FOOT LOCKER,373109.21,42900298.47
KAY JEWELERS,88590.63,40117587.08
GAP,633753,39353096.77
FREE PEOPLE,291112.74,38727763.46
SKECHERS,435362.39,37686734.97
LL BEAN,298178.01,32292634.900000002
HOLLISTER,454738.97,30792193.990000002
FANATICS,335054.1,29198994.88
