BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,2212023.48,131086557.75999999
NIKE,824866.52,105326661.25
LULULEMON,768400.01,89143609.32000001
GOODWILL,2787828.8200000003,74691043.73
OLD NAVY,1350452.46,72279195.14
ZARA,651020.36,61518125.5
VICTORIA'S SECRET,757711.75,50633442.29
ANTHROPOLOGIE,335044.42,47565405.61
ABERCROMBIE & FITCH,375141.87,45628136.309999995
AMERICAN EAGLE,616066.63,44415085.37
DSW SHOE WAREHOUSE,553861.11,42801062.79
REVOLVE,144132.72,42338158.76
H&M,713957.09,40445707.8
POSHMARK,706854.58,35700353.04
NIKE FACTORY,360560.26,33109045.150000002
MEN'S WEARHOUSE,157979.1,30759256.560000002
KAY JEWELERS,64315.92,27621591.11
BOOT BARN,199901.15,27048635.37
FOOT LOCKER,229902.39,25856683.38
FREE PEOPLE,182985.06,24239212.07
LL BEAN,217191.34,23611147.3
GAP,396396.92,23035152.37
SKECHERS,267395.23,22666627.61
ADIDAS,261127.41,22296668.79
FANATICS,224308.39,20150118.3
HOLLISTER,283262.69,18787140.07
