BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,4212612.9399999995,235213440.67000002
NIKE,1568585.83,189907568.02
SHEIN,2227614.88,147040717.5
VICTORIA'S SECRET,1957377.88,146048408.33
LULULEMON,1136668.6199999999,135486522.54
AMERICAN EAGLE,1643672.09,122810974.56
ZARA,1195150.73,116643124.10000001
GOODWILL,4514966.58,115321577.49000001
H&M,2177152.38,113619168.78999999
DSW SHOE WAREHOUSE,1308711.77,92907532.09
ANTHROPOLOGIE,701577.28,74193191.56
NIKE FACTORY,772354.9,72398745.03
POSHMARK,1442958.1900000002,68010408.31
ADIDAS,750521,67685531.73
FOOT LOCKER,517805.43,61830735.73
GAP,1051460.78,59321625.900000006
KAY JEWELERS,146511.93,58699400.89
REVOLVE,242355.1,56911690.81
ABERCROMBIE & FITCH,466196.35000000003,48468621.269999996
HOLLISTER,663576.18,45385928.22
MEN'S WEARHOUSE,254354.28,43618919.15
BOOT BARN,317734.94,42692311.92
LL BEAN,443176.2,41939255.42
SKECHERS,496873.86,39853604.18
FREE PEOPLE,309296.95,38149339.38
FANATICS,360947.78,27007187.41
