BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,824359.92,104213193.06
SHEIN,1326667.95,96153984.92
LULULEMON,655566.24,77988822.8
OLD NAVY,1331233.49,68770594.03
ZARA,730088.55,68125154.13
GOODWILL,2357107.08,61670671.52
VICTORIA'S SECRET,857564.97,61049031.21
AMERICAN EAGLE,685688.21,49777953
H&M,914139.74,48714141.2
DSW SHOE WAREHOUSE,601243.1,47115482.13
REVOLVE,166916.44,44603811.330000006
ANTHROPOLOGIE,322242.35000000003,40009878.67
POSHMARK,642908.99,33180402.38
KAY JEWELERS,74921.68,32634298
NIKE FACTORY,342842.14,32475755.12
MEN'S WEARHOUSE,170431.47,30213905.44
ADIDAS,305470.38,29067362.9
FOOT LOCKER,246492.41,28686572.78
ABERCROMBIE & FITCH,252649.14,28330351.43
BOOT BARN,208183.53,27414421.55
LL BEAN,241592,24166399.24
GAP,426276.09,22987694.330000002
FREE PEOPLE,149353.92,21455156.31
HOLLISTER,310532.18,20666886.6
FANATICS,208829.75,17866708.02
SKECHERS,195807.02,16894364.2
