BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,13026463.41,853260011.67
NIKE,5760526.2,747174813.52
OLD NAVY,11118674.73,632740444.16
LULULEMON,4584026.53,577908060.66
ZARA,3999378.61,442405124.55
GOODWILL,15834929.13,423970864.48
AMERICAN EAGLE,4343684.2,337315106.01
ANTHROPOLOGIE,2100527.22,328645198.39
DSW SHOE WAREHOUSE,4150137.46,323693862.89
H&M,5547132.5200000005,319306804.56
VICTORIA'S SECRET,4568811.46,318007370.41
REVOLVE,928209.41,266543502.43
ABERCROMBIE & FITCH,2060310.44,259493664.95
NIKE FACTORY,2694455.92,256251876.52
ADIDAS,2510571.27,238190360.76000002
MEN'S WEARHOUSE,1040760.89,208968344.14000002
POSHMARK,3834371.0300000003,194182333.24
GAP,3062631.58,192841014.2
FOOT LOCKER,1560796.61,176469573.55
BOOT BARN,1229690.29,171318469.98000002
FREE PEOPLE,1086448.4,158812830.70000002
SKECHERS,1767243.73,158367624.48
FANATICS,1784983.9000000001,157779507.36
KAY JEWELERS,324047,147606846.19
HOLLISTER,1985965.82,133559677.86
LL BEAN,1151583.57,132224011.17
