BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
VICTORIA'S SECRET,636488.6,34404770.910000004
OLD NAVY,772196.91,32290937.71
GOODWILL,1130508.44,24796478.84
DSW SHOE WAREHOUSE,351506.47000000003,24408501.689999998
NIKE,207377.55000000002,22992576.299999997
H&M,513375.39,22669155.63
LULULEMON,194942.33000000002,22662868.57
ZARA,294146.31,21870064.06
AMERICAN EAGLE,361087.58,20932315.78
ANTHROPOLOGIE,172029.37,17462630.59
MEN'S WEARHOUSE,70460.59,15243059.88
NIKE FACTORY,177516.77,13084152.67
GAP,264432.17000000004,11976454.87
LL BEAN,127004.33,11540868.31
REVOLVE,48474.270000000004,11383892.67
POSHMARK,265637.21,10802140.059999999
ADIDAS,144113.16,10672900.58
FOOT LOCKER,96876.9,10241419.78
HOLLISTER,190615.83000000002,10176204.71
KAY JEWELERS,28791.96,7874649.56
BOOT BARN,56555.57,6974140.48
FREE PEOPLE,61686.44000000001,6675816.88
ABERCROMBIE & FITCH,91843.53,6563124.69
SKECHERS,84748.08,5971123.43
FANATICS,73541.46,5038236.82
SHEIN,64391.36,3310527.58
