BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,5014495.73,637884816.1800001
SHEIN,8488854.5,611180128.07
OLD NAVY,10329643.67,569988373.91
LULULEMON,3602206.71,453483300.81
ZARA,3674950.06,397713592.84
GOODWILL,13346227.31,350524127.41
H&M,5963822.0600000005,323878589.56
DSW SHOE WAREHOUSE,3981420.18,316473967.11
AMERICAN EAGLE,4133662.59,316411265.97
VICTORIA'S SECRET,4352807,310180330.14
REVOLVE,898592.2000000001,256791946.73
ANTHROPOLOGIE,1720522.7000000002,256284815.23
NIKE FACTORY,2460078.56,228934679.85999998
ADIDAS,2222278.17,225726595.51
MEN'S WEARHOUSE,1135875.12,213443773.39
ABERCROMBIE & FITCH,1564799.74,185966800.27
FOOT LOCKER,1533402.8,176391417.35
POSHMARK,3503334.66,173174910.76
GAP,2650100.12,160903296.09
BOOT BARN,1110877.46,150277425.57
KAY JEWELERS,306964.88,141273862.62
FREE PEOPLE,860851.11,126123056.54
SKECHERS,1408795.51,121279238.41
HOLLISTER,1708096.21,113690893.26
LL BEAN,1001501.38,104767036.72
FANATICS,1149487.3800000001,98206138.81
