BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,2411929.89,120704548.01
NIKE,965845.03,114525281.94
VICTORIA'S SECRET,1427794.75,87932150.47
LULULEMON,712251.91,86932833.03
AMERICAN EAGLE,1215121.36,79505049.56
DSW SHOE WAREHOUSE,1124536.84,73388763.11
GOODWILL,2981076.62,67531780.13
H&M,1337006.8,63972165.07
ADIDAS,717667.8400000001,58716184.44
ANTHROPOLOGIE,528730.47,56715381.79
ZARA,675632.24,56480168.44
POSHMARK,1140738.9,48323823.31
REVOLVE,195290.97,43926937.01
FOOT LOCKER,367869.8,42479049.08
MEN'S WEARHOUSE,188109.7,39939922.08
SHEIN,714720.85,38459144.4
NIKE FACTORY,462941.43,38402919.58
GAP,665885.64,35452407.86
KAY JEWELERS,103881.94,30811448.42
HOLLISTER,537759.48,30520164.560000002
ABERCROMBIE & FITCH,331275.95,27587738.44
LL BEAN,280712.76,27226090.04
BOOT BARN,194725.26,24591090.01
FREE PEOPLE,208458.81,23924428.39
FANATICS,321890.13,22708622.56
SKECHERS,287240.18,21301996.48
