BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,12437750.88,704770309.21
NIKE,5069848.95,625489888.55
SHEIN,7573339.15,538846124.77
ZARA,4068625.27,427282664.33
LULULEMON,3427644.77,426803808.76
VICTORIA'S SECRET,5527328.43,408265598.42
AMERICAN EAGLE,5198155.91,405535002.23
H&M,7137046.45,373901056.01
GOODWILL,13517459.85,346833850.85
DSW SHOE WAREHOUSE,4251427.42,320578591.78000003
ANTHROPOLOGIE,2093887.74,257806846.78
NIKE FACTORY,2430885.54,229305050.84
ADIDAS,2274239.92,211595161.21
REVOLVE,831679.52,207640662.18
GAP,3346819.2800000003,200746864.59
FOOT LOCKER,1602900.29,187264274.48
POSHMARK,3834947.79,185396912.55
KAY JEWELERS,406617.84,171216830.81
MEN'S WEARHOUSE,989523.73,164502800.12
ABERCROMBIE & FITCH,1461956.63,163619892.65
HOLLISTER,2072818.35,148009906.07
BOOT BARN,1070879.32,144046706.41
LL BEAN,1335208.19,132106945.53
FREE PEOPLE,999518.91,129917938.2
SKECHERS,1463140.74,120030831.17
FANATICS,1267608.63,107166674
