BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,727008.12,33222450.810000002
VICTORIA'S SECRET,592992.55,32082159.509999998
LULULEMON,235040.13999999998,27286242.04
GOODWILL,1145346.42,25699798.63
NIKE,218463.09,25050770.47
ZARA,309721.57,23489628.540000003
DSW SHOE WAREHOUSE,324263.32,23101370.540000003
AMERICAN EAGLE,397886.96,22819672.25
H&M,491161.05,21717139.619999997
ANTHROPOLOGIE,166225.13,16870486.78
MEN'S WEARHOUSE,70322.94,15124129.84
NIKE FACTORY,174939.35,13562358.669999998
POSHMARK,294026.4,12801995.54
REVOLVE,52254.14,12695315.22
FOOT LOCKER,104964.63,11906936.68
ADIDAS,171769.46000000002,11599483.96
GAP,239032.05,11158669.39
LL BEAN,116669.56999999999,11151693.55
HOLLISTER,183312.62000000002,9753763.280000001
KAY JEWELERS,28211.9,8229343.61
ABERCROMBIE & FITCH,97968.28,7776994.51
SHEIN,139090.62,7467664.45
BOOT BARN,60062.600000000006,7193720.29
FREE PEOPLE,57642.1,6880728.779999999
FANATICS,89463.54,6783454.399999999
SKECHERS,91068.82,6647421.350000001
