BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,13913712.48,785051635.37
NIKE,5725827.26,710141306.74
SHEIN,8128809.96,581062465.4300001
LULULEMON,4084922.1,515250035.09
ZARA,4539379.86,481301157.91
VICTORIA'S SECRET,6448658.86,479703975.46
AMERICAN EAGLE,5928214.29,460249830.3
H&M,7935414.19,417167969.49
GOODWILL,14701559.620000001,378010936.69
DSW SHOE WAREHOUSE,4727590.18,358716846.08
ANTHROPOLOGIE,2465478.09,295084378.64
NIKE FACTORY,2767790.49,261722064.63
ADIDAS,2594855.14,248122303.71
REVOLVE,912023.86,228984717.19
GAP,3823375.4,226663601.60000002
FOOT LOCKER,1852429.74,216183395.56
KAY JEWELERS,512129.66000000003,215002807.52
POSHMARK,4137354.23,202634355.41
ABERCROMBIE & FITCH,1690918.77,188345756.63
MEN'S WEARHOUSE,1096155.63,181266933.81
BOOT BARN,1294955.42,173696459.88
HOLLISTER,2415175.45,171752337.79
LL BEAN,1639222.86,164399415.02
FREE PEOPLE,1120459.11,145473958.67
SKECHERS,1599553.97,131938655.14
FANATICS,1473554.38,125018107.67
