BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,4168000.88,299234554.69
NIKE,2305396.24,296455899.2
OLD NAVY,4778028.33,262854758.04000002
LULULEMON,1725846.07,212918418.29
ZARA,1813704.49,197771563.2
GOODWILL,6333123.37,167097979.91
VICTORIA'S SECRET,2188257.07,158818109.36
DSW SHOE WAREHOUSE,1970655.76,157050627.65
H&M,2815180.9,154106691.99
AMERICAN EAGLE,1997396.95,151949016.93
REVOLVE,487051.18,132474353.62
ANTHROPOLOGIE,856019.8,124587698.4
MEN'S WEARHOUSE,574356.15,106631735.39
NIKE FACTORY,1100838.3800000001,103752516.95
ADIDAS,985410.53,98177536.8
ABERCROMBIE & FITCH,733056.37,88643470.06
POSHMARK,1741581.94,87275568.75
FOOT LOCKER,719860.55,84037225.82000001
KAY JEWELERS,175008.15,78277932.56
BOOT BARN,555175.03,74515324.19
GAP,1208812.65,71420759.3
FREE PEOPLE,412790.68,60036327.13
SKECHERS,639254.64,55296197.17
HOLLISTER,814100.59,54362294.72
LL BEAN,508954.5,51021397.28
FANATICS,471943.44,39321722.550000004
