BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,11545325.13,754628911.41
NIKE,5002995.68,645543370.98
OLD NAVY,9623407.27,547416629.86
LULULEMON,4006460.37,503101615.02
ZARA,3643981.2,398430561.21000004
GOODWILL,14446180.56,386695161.1
DSW SHOE WAREHOUSE,3713874.71,291093264.18
AMERICAN EAGLE,3757195.89,290043764.19
ANTHROPOLOGIE,1786240.56,289084314.21999997
H&M,4992117.21,286765758.01
VICTORIA'S SECRET,3992023.69,274679204.33
REVOLVE,861009.52,246242375.75
NIKE FACTORY,2418225.46,228479631.09
ABERCROMBIE & FITCH,1792393.46,224192718.13
ADIDAS,2223202.61,215460538.3
MEN'S WEARHOUSE,966784.99,194187137.69
POSHMARK,3478570,176273914
GAP,2615774.1,162601325.63
FOOT LOCKER,1384143.55,156926489.51
BOOT BARN,1098794.08,153253132.79000002
SKECHERS,1589932.46,143256694.57
FREE PEOPLE,966777.19,140813003.14000002
KAY JEWELERS,277804.2,128700474.21
FANATICS,1417293.96,125200245.99
HOLLISTER,1691715.74,111980921.92
LL BEAN,941660.28,106315423.84
