BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,1665353.6300000001,81646622.13
LULULEMON,407874.06,45128360.42
GOODWILL,1488647.73,39607966.56
NIKE,295945.33,37006570.97
OLD NAVY,674333.02,34128701.81
ZARA,342321.23000000004,33509487.59
VICTORIA'S SECRET,386188.31,25295588.720000003
ANTHROPOLOGIE,188675.91,23389319.35
ABERCROMBIE & FITCH,207962.52000000002,21744010.09
AMERICAN EAGLE,306551.45,20996231.650000002
REVOLVE,66666.73,20130766.85
DSW SHOE WAREHOUSE,248944.51,19947812.05
H&M,349767.14,18373472.09
POSHMARK,354234.82,17398889.29
NIKE FACTORY,162671.1,14434248.88
LL BEAN,129107.57,14238155.23
BOOT BARN,108981.41,14120879.51
MEN'S WEARHOUSE,69108.78,13620702.39
GAP,241592.72000000003,13192655.4
SKECHERS,144587.77000000002,12568597.190000001
FREE PEOPLE,97616.12000000001,11834860.12
KAY JEWELERS,25353.82,11779865.64
FOOT LOCKER,98629.43000000001,11721600.38
HOLLISTER,175561.1,11328899.18
FANATICS,117101.12,10365241.24
ADIDAS,111654.58000000002,9251092.44
