BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,5081200.93,364002837.78000003
NIKE,2807999.49,357863757.47
OLD NAVY,5995584.66,325356778.32
LULULEMON,2128728.1,261893261.05
ZARA,2220539.07,244833310.07
GOODWILL,7616555.14,201115772.77
VICTORIA'S SECRET,2697083.33,195592824.29
DSW SHOE WAREHOUSE,2386755.14,189553295.75
H&M,3449868.23,187210059.63
AMERICAN EAGLE,2447359.85,185045540.55
REVOLVE,579032.13,159707076.37
ANTHROPOLOGIE,1024614.14,150283729.63
NIKE FACTORY,1358681.86,127094524.53999999
MEN'S WEARHOUSE,683427.84,126942824.71
ADIDAS,1234803.05,126072860.03
ABERCROMBIE & FITCH,886556.5,106036753.93
POSHMARK,2074316.6500000001,103401941.28
FOOT LOCKER,869075.9800000001,100530359.4
KAY JEWELERS,202041.8,91372799.39
BOOT BARN,662542.24,88909350.98
GAP,1466716.48,86772728.45
FREE PEOPLE,509947.72000000003,73575236.37
SKECHERS,777510.3099999999,67138294.02
HOLLISTER,982712.01,64764384.42
LL BEAN,596362.9400000001,59700676.19
FANATICS,580242.87,48757816.42
