BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,11492574.22,648990204.67
OLD NAVY,6617846.52,376692311.35
LULULEMON,2524129.47,309935326.23
GOODWILL,11073661.34,296908868.64
NIKE,2230190.18,287898818.8
ZARA,2184140.38,244684239.34
ANTHROPOLOGIE,1406500.37,205627072.35
AMERICAN EAGLE,2642476.0100000002,195266233.81
VICTORIA'S SECRET,2668825.22,187191079.18
DSW SHOE WAREHOUSE,2283475.96,179135672.89000002
H&M,2936099.56,171548748.15
REVOLVE,498896.08,149208121.02
ABERCROMBIE & FITCH,1307193.8,146788392.56
NIKE FACTORY,1483242.05,137914070.59
BOOT BARN,891018.58,123021472.05
MEN'S WEARHOUSE,617545.11,121677897.06
POSHMARK,2468173.29,115033707.67999999
GAP,1720380.21,111544601.85000001
SKECHERS,1211941.98,111105549.85
FOOT LOCKER,841573.86,104473958.83
FREE PEOPLE,768763.8,100885712.03
HOLLISTER,1466628.49,96508464.53
KAY JEWELERS,188758.48,93323532.34
ADIDAS,1044459.68,86909798.42
FANATICS,777529.12,68530847.45
LL BEAN,603072.63,66780527.1
