BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,8402679.55,448464716.3
OLD NAVY,4508437.26,264955682.41
LULULEMON,1780364.77,218958280.83
GOODWILL,7790840.2700000005,208664652.78
NIKE,1597859.78,206240108.81
ZARA,1472212.8900000001,164067774.73
ANTHROPOLOGIE,996760.14,146291016.98
AMERICAN EAGLE,1796568.42,134341238.4
VICTORIA'S SECRET,1817250.51,128263628.32000001
DSW SHOE WAREHOUSE,1622821.12,128094665.25
H&M,1997078.91,120042652.69
REVOLVE,365478.65,108130833.97
ABERCROMBIE & FITCH,940334.95,107353277.83
NIKE FACTORY,1014424.27,93396725.52
MEN'S WEARHOUSE,455457.59,90571416.94
BOOT BARN,624972.16,86338552.38000001
POSHMARK,1759655.12,83297220.34
GAP,1202552.95,78718399.63
SKECHERS,860037.1,77961684.59
FOOT LOCKER,580224.18,72609546.92
FREE PEOPLE,527658.31,69293391.85000001
KAY JEWELERS,142526.16,68659503.76
HOLLISTER,969953.91,64350992.730000004
ADIDAS,697769.56,59016316.67
FANATICS,571377.5700000001,50787913.79
LL BEAN,438910.60000000003,49270680.21
