BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,13619997.89,651798451.28
NIKE,4098319.23,486476198.38
LULULEMON,3195968.79,386762743.78
AMERICAN EAGLE,5120504.89,353478581.35
VICTORIA'S SECRET,5091856.64,352476870.36
H&M,5482988.72,273367678.86
GOODWILL,10598081.93,254246172.98
DSW SHOE WAREHOUSE,3819032.5,243393262.3
ADIDAS,2731126.3000000003,233432960.98
SHEIN,3806066.98,232623317.84
ZARA,2364861.4,225130117.6
ANTHROPOLOGIE,2234401.83,219752221.87
FOOT LOCKER,1672343.98,190035321.5
GAP,3742102.32,179984151.98
POSHMARK,3791191.7600000002,166341168.06
NIKE FACTORY,1854662.03,162562742.27
HOLLISTER,2210010.0100000002,144419346.64000002
KAY JEWELERS,374550.16000000003,136994339.46
LL BEAN,1355402.51,136398934.27
ABERCROMBIE & FITCH,1421299.8900000001,129283209.55
REVOLVE,593783.96,128657170.51
FANATICS,1517367.24,110961171.57000001
BOOT BARN,778425.75,100088314.13
MEN'S WEARHOUSE,551405.76,99693256.38
FREE PEOPLE,815086.98,97726023.41
SKECHERS,1221115.68,90224064.66
