BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,15768648.870000001,858041097.81
OLD NAVY,9784157.34,557164075.52
NIKE,4127090.9000000004,529657305.14
LULULEMON,3749503.47,470337947.74
GOODWILL,15074541.42,403467970.1
ZARA,3348086.08,364356179.48
AMERICAN EAGLE,3950073.79,302016206.1
ANTHROPOLOGIE,1989878.53,294555687.96
DSW SHOE WAREHOUSE,3664501.82,283164616.23
VICTORIA'S SECRET,3902449.39,267876406.78
ABERCROMBIE & FITCH,2068955.28,262470898.51
H&M,4612363.42,262378629.33
REVOLVE,737807.9,223971959.64000002
NIKE FACTORY,2202429.35,209356103.96
MEN'S WEARHOUSE,912096.72,184099755.87
POSHMARK,3539704.62,172298863.84
GAP,2502758.83,162313998.91
BOOT BARN,1158921.25,161410556.63
FOOT LOCKER,1346311.74,158743321.03
ADIDAS,1818627.29,156336664.92
SKECHERS,1687878.6300000001,148411015.36
FREE PEOPLE,1070565.79,141975493.94
KAY JEWELERS,270428.66000000003,129175129.71000001
HOLLISTER,1871526.4100000001,128419848.19000001
FANATICS,1343961.22,116133792.82000001
LL BEAN,938996.8,106524590.9
