BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,1321703.05,168060669.33
SHEIN,2259702.3400000003,162288970.38
OLD NAVY,2344786.85,126196230.01
LULULEMON,985339.96,120158765.94
ZARA,1070286.6500000001,107387385.45
GOODWILL,3702016.1,96965224.32000001
VICTORIA'S SECRET,1331735.53,95258847.94
AMERICAN EAGLE,1100197.15,83014175.14
H&M,1497925.1400000001,81123364.51
DSW SHOE WAREHOUSE,1001824.81,79747795.3
REVOLVE,278247.33999999997,74148917.18
ANTHROPOLOGIE,483445.12,66095341.29
ADIDAS,553135.06,57102899.22
NIKE FACTORY,567901.61,54078659.96
MEN'S WEARHOUSE,289172.64,52542676.77
POSHMARK,1016681.9600000001,51805753.71
FOOT LOCKER,404074.10000000003,47643652.35
ABERCROMBIE & FITCH,401468.78,47193064.96
KAY JEWELERS,102288.38,45820969.79
BOOT BARN,329064.18,43413247.12
GAP,671653.42,38160289.47
FREE PEOPLE,233724.51,33847641.35
LL BEAN,336203.81,33667434.19
HOLLISTER,468934.21,32087357.6
SKECHERS,329670.51,28737951.34
FANATICS,293768.1,24507944.21
