BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,1475926.9500000002,67475739.55
VICTORIA'S SECRET,1131852.6,65183619.65
NIKE,411451.32,49862411.199999996
GOODWILL,2183046.57,47873015.49
DSW SHOE WAREHOUSE,672064.37,47168138.129999995
H&M,993215.77,45405751.99
AMERICAN EAGLE,696747.0700000001,42941752.67
LULULEMON,350666.5,42320466.440000005
ZARA,496323.27,38006079.25
ANTHROPOLOGIE,305955.45,32433013.37
MEN'S WEARHOUSE,138469.16,29981161.24
NIKE FACTORY,353095.51999999996,27571641.86
FOOT LOCKER,224566.19,25806067.25
GAP,466054.60000000003,23315529.639999997
REVOLVE,99868.31,23253838.41
ADIDAS,291366.31,22671638.16
KAY JEWELERS,81599.66,22563609.650000002
POSHMARK,536223.79,21885680.83
LL BEAN,208821.18,19029832.95
HOLLISTER,330192.22,18081633.72
BOOT BARN,117567.91,14612805.66
FREE PEOPLE,113812.78000000001,12660878.73
ABERCROMBIE & FITCH,170097.42,12245457
SKECHERS,166680.57,11894216.84
FANATICS,121756.54,8596731.87
SHEIN,140628.2,7026919.78
