BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,1127892.6800000002,66183645.10999999
LULULEMON,429304.51999999996,47385673.93000001
NIKE,380542.66000000003,46128127.29
GOODWILL,1373859.97,37055134.84
ZARA,378607.69,35172741.4
OLD NAVY,680529.65,33656446.440000005
VICTORIA'S SECRET,394626.67,25803360.990000002
ABERCROMBIE & FITCH,202952.12,23499745.16
ANTHROPOLOGIE,179651.52,23441650.810000002
DSW SHOE WAREHOUSE,275580.35,21389888.48
REVOLVE,70983.97,20791663.14
AMERICAN EAGLE,293596.19,20328688.78
H&M,355251.29,19470542.73
POSHMARK,362642.08,18542431.19
NIKE FACTORY,173934.83,15569370.860000001
MEN'S WEARHOUSE,77846.73,14915300.370000001
LL BEAN,130338.92000000001,14217727.88
BOOT BARN,96129.99,12833055.35
GAP,227566.67,12464730.450000001
FREE PEOPLE,93109.29000000001,12276109
FOOT LOCKER,107277.58,11223751.200000001
SKECHERS,133596.95,11070363.4
FANATICS,119688.86,10575944.55
KAY JEWELERS,25557.78,10277134.42
ADIDAS,121537.92,9810786.290000001
HOLLISTER,148421.75,9669684.55
