BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,1808805.03,230107136.49
SHEIN,3178989.62,228435724.97
OLD NAVY,3515877.5100000002,192967866.72
LULULEMON,1329866.52,164013509.57
ZARA,1428058.44,151106555.58
GOODWILL,5005428.22,131642806.41
VICTORIA'S SECRET,1711422.21,124214489.7
DSW SHOE WAREHOUSE,1472545.6,117475067.46000001
H&M,2132127.42,116541802.62
AMERICAN EAGLE,1524772.57,116099396.93
REVOLVE,384895.27,103304458.98
ANTHROPOLOGIE,663600.8200000001,94759447.14
MEN'S WEARHOUSE,435807.99,80630253.34
ADIDAS,766606.6,78238551.64999999
NIKE FACTORY,824919.86,77889411.77
ABERCROMBIE & FITCH,576286.86,69854375.46
POSHMARK,1381425.44,69723706.05
FOOT LOCKER,555165.14,64983199.43
KAY JEWELERS,133063.51,60066203.07
BOOT BARN,443759.7,59168184.21
GAP,925835,53965558.12
FREE PEOPLE,320140.03,46617287.15
HOLLISTER,659637.36,44219264.68
LL BEAN,421712.36,42265170.71
SKECHERS,480881.07999999996,41684415.39
FANATICS,389310.2,32234279.41
