BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,8660608.9,494160282.45
OLD NAVY,5738767.16,321413697.35
NIKE,2484836.85,319748693.87
LULULEMON,2299434.17,281998441.69
GOODWILL,8803750.92,237875909.05
ZARA,1996019.12,220282002.72
ANTHROPOLOGIE,1158975.72,174009508.48
DSW SHOE WAREHOUSE,2212092.34,170363396.87
AMERICAN EAGLE,2242864.73,168174659.33
VICTORIA'S SECRET,2378897.61,163012601.39000002
ABERCROMBIE & FITCH,1232304.78,158353108
H&M,2703044.61,155323179.39000002
REVOLVE,457969,137426977.03
NIKE FACTORY,1276461.7,119967146.19
MEN'S WEARHOUSE,554450.52,112800651.01
POSHMARK,2169244.59,105264621.17
BOOT BARN,679123.22,94418815.17
ADIDAS,1045063.46,91734787.86
FOOT LOCKER,770561.85,90648609.28
GAP,1376833.8800000001,88308704.91000001
SKECHERS,991643.59,87065050.03
FREE PEOPLE,636455.41,84623944.67
KAY JEWELERS,175150.62,82220873.1
HOLLISTER,1009019.52,67513530.43
LL BEAN,546811.84,59942977.62
FANATICS,672266.1900000001,57591992.11
