BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,19561863.27,1060552688.4399999
OLD NAVY,12637554.4,712847603.91
NIKE,5494641.68,701288425.38
LULULEMON,5146391.9,652715813.62
GOODWILL,18054449.92,483067767.15000004
ZARA,4079978.46,455799588.09999996
AMERICAN EAGLE,5203504.92,399712763.35
ANTHROPOLOGIE,2707367.66,377729219.55
VICTORIA'S SECRET,5362726.32,374201406.56
DSW SHOE WAREHOUSE,4485951.63,348215720.91
ABERCROMBIE & FITCH,2671488.74,332394869.42
H&M,5764978.53,327847288.47
NIKE FACTORY,2841677.74,273297909
REVOLVE,865955.66,262296370.15
GAP,3403766.25,219705482.16
BOOT BARN,1562652.27,215745951.67
FOOT LOCKER,1790123.7,213209288.15
MEN'S WEARHOUSE,1064116.51,212346808.18
POSHMARK,4224666.8,206057573.85
ADIDAS,2314502.23,194615327.39
HOLLISTER,2662614.2800000003,184273871.05
KAY JEWELERS,394771.97000000003,184186904.87
SKECHERS,2078113.27,183479216.32
FREE PEOPLE,1374004.25,179942161.62
FANATICS,2013759.27,176085886.94
LL BEAN,1429035.94,166709613.06
