BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,5986623.2700000005,300901106.61
VICTORIA'S SECRET,3413792.64,201028512.56
DSW SHOE WAREHOUSE,2647604.45,186486857.43
H&M,3797249.83,177026045.87
AMERICAN EAGLE,2528351.67,165320929.57
NIKE,1302712.22,159120076.6
GOODWILL,6974064.42,153725632.86
LULULEMON,1119097.11,140558088.25
ZARA,1482213.22,129823340.78
ANTHROPOLOGIE,1056083,124581683.17999999
MEN'S WEARHOUSE,544121.02,114938751.89
NIKE FACTORY,1356442.71,107203895.28
GAP,1681054.92,91043590.35
FOOT LOCKER,796276.58,90589305.96
REVOLVE,357906.81,87400961.67
ADIDAS,1058820.83,86232234.64
POSHMARK,1654209.45,66604881.410000004
KAY JEWELERS,221372.6,65331474.14
HOLLISTER,1100350.86,60348064.85
BOOT BARN,374026.71,47166016.93
SKECHERS,644997.7000000001,46340979.980000004
FREE PEOPLE,384070.17000000004,44382708.92
ABERCROMBIE & FITCH,600176.11,44339565.48
LL BEAN,459767.55,43346640.49
SHEIN,575585.36,30462118.48
FANATICS,374524.56,26225584.7
