BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,1483045.28,73133831.33
VICTORIA'S SECRET,1058078.27,62369837.660000004
NIKE,444201.82,53946168.18
LULULEMON,440275.44,53670168.589999996
GOODWILL,2284840.88,51053199.08
AMERICAN EAGLE,757234.1,47566301.29
DSW SHOE WAREHOUSE,644784.37,45982211.06
H&M,1002694.4600000001,45887545.13
ZARA,533691.13,42178658.39
ANTHROPOLOGIE,300541.11,32726644.17
MEN'S WEARHOUSE,144376.18,30840217.94
NIKE FACTORY,363623.28,29763620.23
FOOT LOCKER,234939.51,27582271.57
REVOLVE,111363.39,26265172.36
POSHMARK,575993.56,24998877.03
ADIDAS,357479.91000000003,24826999.05
KAY JEWELERS,77060.62,22765381.22
GAP,414925.23,21155750.59
HOLLISTER,329009.02,18029882.98
LL BEAN,185826.1,17775750.29
BOOT BARN,128201.26000000001,15787814.72
SHEIN,287006.41,15234147.76
ABERCROMBIE & FITCH,185426.88,14864799.92
SKECHERS,189117.47,13942365.280000001
FREE PEOPLE,110403.64,13580480.49
FANATICS,153300.97,11558870.209999999
