BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,7053457.100000001,363988385.53
OLD NAVY,3319884.78,196512753.35
LULULEMON,1395798.41,170297418.09
GOODWILL,6120542.28,163367452.24
NIKE,1258791.21,160425947.76
ZARA,1154791.29,123518838.47
ANTHROPOLOGIE,769352.3,110964695.94
AMERICAN EAGLE,1360538.68,102672170.60000001
VICTORIA'S SECRET,1438128.43,101089849.11
DSW SHOE WAREHOUSE,1207836.96,95622597.94
H&M,1512782.99,89878987.31
ABERCROMBIE & FITCH,741086.66,84757509.72
REVOLVE,287837.08,84620771.96000001
NIKE FACTORY,776413.48,71527632.05
MEN'S WEARHOUSE,348165.44,69551210.5
POSHMARK,1388044.68,66399547.94
BOOT BARN,480780.57,66233702.86000001
GAP,922401.97,59408934.81
SKECHERS,660776.47,58768740.95
FOOT LOCKER,451817.85000000003,56243700.49
FREE PEOPLE,408429.97000000003,53247735.56
KAY JEWELERS,106812.79000000001,51762183.949999996
HOLLISTER,737206.51,49518987.5
ADIDAS,542379.8200000001,45988881.44
FANATICS,459921.78,41382587.69
LL BEAN,358172.76,40124890.44
