BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,7150793.41,356856488.08
VICTORIA'S SECRET,3978266.77,232433940.68
DSW SHOE WAREHOUSE,3040465.37,212998699.07999998
H&M,4604646.75,210892590.28
AMERICAN EAGLE,3040871.49,198066984.72
NIKE,1525509.72,185223796.09
GOODWILL,8177917.71,179990280.51
LULULEMON,1324025.24,165212933.05
ZARA,1795283.02,152024276.29
ANTHROPOLOGIE,1265900.34,146821836.78
MEN'S WEARHOUSE,621516.67,131172721.91
NIKE FACTORY,1628165.33,129557409.22
GAP,2016424.79,107529733.55
FOOT LOCKER,933997.47,105982214.67
REVOLVE,414474.97,101801973.54
ADIDAS,1271326.44,101499242.61
POSHMARK,1920655.58,77574291.38
KAY JEWELERS,251777.17,74920422.49
HOLLISTER,1344993.89,74342259.01
BOOT BARN,434396.41,54758135.31
SKECHERS,765092.88,54751499.34
ABERCROMBIE & FITCH,720270.02,53329633.58
FREE PEOPLE,453624.01,52131198.64
LL BEAN,531161.84,49768043.39
SHEIN,704534.96,37479162.1
FANATICS,437159.97000000003,30503580.13
