BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,6548845.45,836381749.03
SHEIN,10215902.2,737244409.57
OLD NAVY,13240590.870000001,725121757.89
LULULEMON,4902274.47,629975728.9
ZARA,4468605.7700000005,494142992.23
GOODWILL,15887552.8,419100645.35
VICTORIA'S SECRET,5827026.57,417565534.36
AMERICAN EAGLE,5311963.41,406706096.73
H&M,7349287.87,403458010.17
DSW SHOE WAREHOUSE,4840624.32,387489665.39
ANTHROPOLOGIE,2307752.67,328660189.82
REVOLVE,1054844.15,302020527.72
NIKE FACTORY,3157405.47,294048884.9
ADIDAS,2887653.58,279307423.44
MEN'S WEARHOUSE,1343988,248994695.84
ABERCROMBIE & FITCH,2059985.53,246994554.93
FOOT LOCKER,1980764.28,227430561.43
GAP,3541675.68,214136629.78
POSHMARK,4156584.61,207716424.02
KAY JEWELERS,453052.34,200121353.19
BOOT BARN,1475565.01,199314885.56
LL BEAN,1511657.58,166339923.11
FREE PEOPLE,1098497.67,160352264.77
FANATICS,1834102.42,157602865.96
HOLLISTER,2325571.42,157325515.45
SKECHERS,1733064.83,149833708.22
