BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,10430794.08,586742889.95
OLD NAVY,6787495.21,377821282.82
NIKE,2927355.96,374871716.61
LULULEMON,2680437.86,329190996.58
GOODWILL,10318266.69,278381760.46
ZARA,2425246.89,262010773.73
ANTHROPOLOGIE,1368954.5,203560175.81
AMERICAN EAGLE,2692877.29,202301107.49
DSW SHOE WAREHOUSE,2555487.92,196521166.43
VICTORIA'S SECRET,2761430.3,188812823.67000002
H&M,3211683.62,181151455.47
ABERCROMBIE & FITCH,1423844.94,180981106.72
REVOLVE,528410.03,159438306.05
NIKE FACTORY,1536112.3,145391289.94
MEN'S WEARHOUSE,632571.65,128370353.31
POSHMARK,2502105.7,121238185.41
BOOT BARN,788621.43,109666778.2
ADIDAS,1240509.77,108575946.86
FOOT LOCKER,917760.05,107910057.05
GAP,1633791.85,103751628.83
SKECHERS,1160707.81,101884308.36
FREE PEOPLE,758285.29,99417280.45
KAY JEWELERS,199344.30000000002,94860058.51
HOLLISTER,1227456.79,82546424.41
LL BEAN,629925.2,68903694.99
FANATICS,776842.8200000001,66368563.28
