BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,656170.35,47422506.81
NIKE,372532.38,46465006.7
LULULEMON,371118.48,43180529.550000004
ZARA,414318.17,38358406.73
OLD NAVY,668037.45,33257145.46
VICTORIA'S SECRET,459053.23,31350796.220000003
GOODWILL,1177061.87,30840027.2
DSW SHOE WAREHOUSE,314325.22000000003,24199872.32
AMERICAN EAGLE,347889.83,24012651.49
H&M,450124.62,23624981.540000003
REVOLVE,80454.58,21794202.320000004
ANTHROPOLOGIE,183151.66,20312869.849999998
POSHMARK,328853.13,17149234.06
ABERCROMBIE & FITCH,139082.55000000002,14939487.399999999
NIKE FACTORY,162007.55,14859914.56
LL BEAN,142102.8,14231749.79
MEN'S WEARHOUSE,79991.46,13866754.39
BOOT BARN,103084.14000000001,13144925.85
GAP,253691.68,12799374.200000001
FOOT LOCKER,112342.66,12722032.19
KAY JEWELERS,28885.05,12601747.67
ADIDAS,135292.9,12498752.59
HOLLISTER,171962.95,11425481.1
FREE PEOPLE,80542.58,11166385.55
FANATICS,126416.07,10713434.58
SKECHERS,96350.71999999999,8384487.17
