BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,17864888.73,974068183
OLD NAVY,11239795.73,640775357.29
NIKE,4706024.51,607241570.42
LULULEMON,4225980.24,535045174.28000003
GOODWILL,16585308.01,443871896.11
ZARA,3668822.12,404635138.67
AMERICAN EAGLE,4502841.43,346733954.04
ANTHROPOLOGIE,2295431.59,333752496.71
DSW SHOE WAREHOUSE,4042812.94,313206623.6
VICTORIA'S SECRET,4487404.98,311106078.46
ABERCROMBIE & FITCH,2329211.19,295287129.13
H&M,5129788.37,292845573.86
REVOLVE,796904,242111116.61
NIKE FACTORY,2473306.93,237130424.69
MEN'S WEARHOUSE,984114.94,198064359.18
GAP,2914447.2,189925672.86
POSHMARK,3886112.15,188979386.95
BOOT BARN,1305818.8800000001,182198761.6
FOOT LOCKER,1502431.71,177979916.84
ADIDAS,2067807.51,175162166.94
SKECHERS,1867124.31,164611888.42000002
FREE PEOPLE,1195348.83,159217690.38
HOLLISTER,2200057.81,153407478.64000002
KAY JEWELERS,309414.11,147012428.26
FANATICS,1640616.1300000001,143332684.84
LL BEAN,1112957.02,128752179.8
