BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,6886197.83,401282777.37
NIKE,2147387.17,277365789.47
OLD NAVY,4584377.23,261657737.70000002
LULULEMON,1901922.63,232355531.79000002
GOODWILL,7312034.39,198019113.42000002
ZARA,1630394.88,177448531.99
ANTHROPOLOGIE,962815.28,144699209.76
DSW SHOE WAREHOUSE,1825181.95,140794295.07
AMERICAN EAGLE,1828327.47,138180171.16
ABERCROMBIE & FITCH,1022444.5800000001,132062289.02
VICTORIA'S SECRET,1920199.9,131914773.07000001
H&M,2167368.35,126904997.77000001
REVOLVE,386751.28,115356078.18
NIKE FACTORY,1038149.46,97472698.31
MEN'S WEARHOUSE,471998.57,96646144.69
POSHMARK,1830060.55,89313506.26
BOOT BARN,553611.64,77082211.77
FOOT LOCKER,633645.55,74573570.76
ADIDAS,834115.72,72483318.98
GAP,1127223.08,72250089.05
SKECHERS,813355.3,71508252.98
KAY JEWELERS,151382.07,69983877.54
FREE PEOPLE,519620.46,69625575.02
HOLLISTER,810424.88,54822103.57
LL BEAN,469177.41000000003,51351401.79
FANATICS,552535.15,47790298.36
