BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,3104577.66,153881680.08
LULULEMON,712063.26,82741389.4
GOODWILL,2906369.17,77368822.26
NIKE,602280.98,77344047.67
OLD NAVY,1268813.29,70266898.33
ZARA,598576.25,56895045.29
VICTORIA'S SECRET,712527.95,48191098.690000005
ANTHROPOLOGIE,354920.66000000003,47993063.38
AMERICAN EAGLE,600204.8200000001,43126595.84
ABERCROMBIE & FITCH,367422.89,40091033.43
REVOLVE,133708.97,40014870.29
DSW SHOE WAREHOUSE,480854.55,38185879.47
H&M,671439.21,37291931.08
POSHMARK,667220.67,32325624.16
NIKE FACTORY,333046.56,29870338.76
BOOT BARN,219256.99000000002,29170114.970000003
MEN'S WEARHOUSE,141039.79,27895214.2
KAY JEWELERS,60685.770000000004,27150521.94
FOOT LOCKER,205792.43,25667533.490000002
SKECHERS,282830.22,24702368.54
GAP,415246.08,24659498.98
FREE PEOPLE,182057.94,23085079.43
LL BEAN,207107.04,22957755.25
HOLLISTER,338263.66,22428460.03
FANATICS,229584.71,21325340.93
ADIDAS,223038.73,18947594.01
