BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,3816611.14,254881147.78
NIKE,1937356.23,251700424.92999998
OLD NAVY,3342310.75,193344952.59
LULULEMON,1542641.71,192744780.07
GOODWILL,5443067.42,146764006.99
ZARA,1367229.35,145176869.54
VICTORIA'S SECRET,1576998.53,110460786.72
H&M,1866493.01,108965255.56
DSW SHOE WAREHOUSE,1340111.6400000001,106864597.12
ANTHROPOLOGIE,641083.65,106721130.38
AMERICAN EAGLE,1314992.18,101052256.07000001
REVOLVE,362531.3,98015976.87
NIKE FACTORY,915656.53,86609055.23
ABERCROMBIE & FITCH,680903,83397474.41
MEN'S WEARHOUSE,399058.21,78477546.03
POSHMARK,1368422.69,71325862.72
BOOT BARN,435021.64,60122242.64
FOOT LOCKER,503848.32,58629735.39
ADIDAS,693805.25,55409526.15
GAP,926550.16,55247403.75
KAY JEWELERS,117108.04000000001,53189196.480000004
FREE PEOPLE,349449.76,51793099.36000001
SKECHERS,573635.63,51235682.26
FANATICS,501988.74,46611875.09
LL BEAN,387301.02,42325191.78
HOLLISTER,584827.52,37677143.34
