BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
OLD NAVY,11929198.84,570065985.97
NIKE,3508917.33,417497832.58
LULULEMON,2611275.54,311541675.54
AMERICAN EAGLE,4356709.98,299885376.05
VICTORIA'S SECRET,4223760.95,286993983.19
H&M,4720239.58,234054748.98
GOODWILL,9582001.98,229013034.57
DSW SHOE WAREHOUSE,3419286.4,215695388.62
SHEIN,3467359.85,211428185.98999998
ADIDAS,2362550.5300000003,198745314.25
ZARA,2041187.69,191654910.84
ANTHROPOLOGIE,1860615.43,190409330.28
FOOT LOCKER,1444161.48,162077654.61
GAP,3219969.86,155375225.92000002
POSHMARK,3493673.72,151374155.85
NIKE FACTORY,1584552.97,139340808.19
HOLLISTER,1860132.9100000001,119784897.62
REVOLVE,549240.22,118431465.76
ABERCROMBIE & FITCH,1200656.48,108906195.56
LL BEAN,1049481.44,106328395.91
KAY JEWELERS,277304.95,102092545.57000001
FANATICS,1262931.84,92340525.87
MEN'S WEARHOUSE,499556.1,92165676.2
FREE PEOPLE,712505.84,86335814.12
BOOT BARN,632569.63,81904618.52
SKECHERS,1091701.65,80406093.03
