BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
NIKE,4515350.64,573030197.07
SHEIN,7629198.72,550577029.1
OLD NAVY,9162899.16,499372256.07
LULULEMON,3249605.0300000003,405099622.94
ZARA,3339113.69,356975053.73
GOODWILL,11791885.81,310543967.47
H&M,5347822.08,287429517.06
AMERICAN EAGLE,3766737.4,286764768.17
VICTORIA'S SECRET,3960357.37,283241670.56
DSW SHOE WAREHOUSE,3565602.24,281148200.19
REVOLVE,818709.67,233622791.94
ANTHROPOLOGIE,1535801.87,226651432.77
NIKE FACTORY,2212893.83,205803750.29999998
ADIDAS,1985044.06,201979605.57
MEN'S WEARHOUSE,1018708.21,191403446.48
ABERCROMBIE & FITCH,1404433.65,165157890.94
FOOT LOCKER,1393160.6800000002,159918910.33
POSHMARK,3135027.27,155239061.13
GAP,2334328.0500000003,138973005.76
BOOT BARN,987107.2100000001,132932087.92
KAY JEWELERS,280871.76,128829623.26
FREE PEOPLE,777728.68,112565840.16
SKECHERS,1253816.76,107778291.35
HOLLISTER,1540090.3,101908231.02
LL BEAN,866040.29,88390724.63
FANATICS,952274.25,80370014.29
