BRAND_NAME,TRANS_COUNT,SPEND_AMOUNT
SHEIN,6227072.67,419559294.64
NIKE,2919269.5700000003,377248229.74
OLD NAVY,5542691.71,311330657.36
LULULEMON,2401755.05,298450655.89
ZARA,2187505.36,243424502.98000002
GOODWILL,8320173.18,224592955.7
DSW SHOE WAREHOUSE,2182849.08,172049587.56
VICTORIA'S SECRET,2472717.77,171723136.21
ANTHROPOLOGIE,1021932.34,169357715.36
H&M,2968864.77,169181357.64
AMERICAN EAGLE,2115342.18,159985835.28
REVOLVE,547652.67,152163590.04
NIKE FACTORY,1419504,133438554.03
ADIDAS,1294654.3,129501694.19000001
ABERCROMBIE & FITCH,1035974.72,126887033.09
MEN'S WEARHOUSE,599078.56,118002955.44
POSHMARK,2046033.22,107421719.21000001
BOOT BARN,656928.8300000001,91276605.99000001
FOOT LOCKER,785093.09,89972161.19
GAP,1460813.27,87582477.79
SKECHERS,935143.81,84442574.82000001
FREE PEOPLE,567804.1699999999,83154225.58
KAY JEWELERS,179294.06,82009418.54
FANATICS,715543.23,64326759.1
LL BEAN,553676.36,60903193.47
HOLLISTER,919399.92,59219922.54
