,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,HOTELS.COM,2024-01,TN,2358.59,643648.6099999998,Travel,OTA
1,BEST WESTERN,2024-03,AL,1967.62,365478.4300000001,Travel,Lodging
2,FRONTIER AIRLINES,2024-02,VA,1716.510000000001,306840.19,Travel,Airlines
3,HOLLAND AMERICA,2024-05,NM,152.45000000000002,148244.02999999994,Travel,Cruises
4,DISNEY CRUISE LINE,2024-06,MA,120.99,66682.94,Travel,Cruises
5,DISNEY CRUISE LINE,2024-03,HI,7.9,10296.94,Travel,Cruises
6,HYATT REGENCY,2024-04,NC,2544.02,413780.29999999993,Travel,Lodging
7,HARD ROCK CASINO,2024-02,KS,22.33,1074.5000000000002,Travel,Lodging (Casinos)
8,DOUBLETREE,2024-02,TX,7122.37,965512.52,Travel,Lodging
9,SOUTHWEST AIRLINES,2024-03,ME,846.1600000000002,332050.6,Travel,Airlines
10,HAMPTON BY HILTON,2024-03,RI,307.7799999999999,72214.43999999999,Travel,Lodging
11,MARRIOTT,2024-01,MS,892.7999999999998,109712.68000000002,Travel,Lodging
12,BOOKING.COM,2024-03,TN,3141.33,1261970.86,Travel,OTA
13,SPIRIT AIRLINES,2024-02,AK,87.78,16038.450000000004,Travel,Airlines
14,CELEBRITY CRUISES,2024-03,NJ,889.42,1388220.8099999998,Travel,Cruises
15,DISNEY CRUISE LINE,2024-02,MI,464.8299999999999,372188.56,Travel,Cruises
16,HOLIDAY INN EXPRESS,2024-04,ID,1154.0000000000002,231262.84999999995,Travel,Lodging
17,AIRBNB,2024-04,MO,6868.37,4596819.580000001,Travel,OTA
18,HOLIDAY INN,2024-05,ME,265.6000000000001,49552.37,Travel,Lodging
19,AMERICAN AIRLINES,2024-04,PA,78078.93000000002,19237151.02,Travel,Airlines
20,CELEBRITY CRUISES,2024-02,ND,10.55,3785.24,Travel,Cruises
21,HARD ROCK CASINO,2024-06,NH,82.94,1094.1,Travel,Lodging (Casinos)
22,PRINCESS CRUISE,2024-01,NY,1155.09,747559.7799999999,Travel,Cruises
23,PRICELINE,2024-05,AL,3466.3699999999994,900123.5800000001,Travel,OTA
24,FRONTIER AIRLINES,2024-01,MO,1482.4100000000003,327534.49999999994,Travel,Airlines
25,AIRBNB,2024-03,AR,3796.66,2366958.96,Travel,OTA
26,ROYAL CARIBBEAN CRUISE,2024-03,CO,1696.2899999999995,1060569.94,Travel,Cruises
27,BRITISH AIRWAYS,2024-04,MI,180.8,151343.19000000003,Travel,Airlines
28,VIATOR,2024-04,MT,311.69,79605.62000000001,Travel,OTA
29,QATAR AIRWAYS,2024-05,AK,14.499999999999998,23383.02,Travel,Airlines
30,SPIRIT AIRLINES,2024-01,AL,2226.1600000000003,395871.9299999999,Travel,Airlines
31,TURKISH AIRLINES,2024-04,NE,47.92,62569.98,Travel,Airlines
32,AMERICAN AIRLINES,2024-01,NV,9484.79,2503482.8200000003,Travel,Airlines
33,BEST WESTERN,2024-02,ND,537.75,103790.17999999998,Travel,Lodging
34,VIATOR,2024-06,NJ,2679.250000000001,635246.6699999998,Travel,OTA
35,BOOKING.COM,2024-01,ME,451.8,124328.21,Travel,OTA
36,BEST WESTERN,2024-05,MN,3384.18,783212.68,Travel,Lodging
37,SOUTHWEST AIRLINES,2024-03,UT,5830.28,1784182.49,Travel,Airlines
38,ALASKA AIR,2024-02,PA,1581.56,455930.87000000005,Travel,Airlines
39,LUFTHANSA,2024-06,OH,451.63,181171.96,Travel,Airlines
40,UNITED AIRLINES,2024-02,OH,16170.2,4363053.52,Travel,Airlines
41,SOUTHWEST AIRLINES,2024-03,RI,1256.8899999999996,360175.79000000004,Travel,Airlines
42,TURKISH AIRLINES,2024-02,OR,140.79,149326.93000000002,Travel,Airlines
43,AMERICAN AIRLINES,2024-04,TN,27605.51,6949983.299999999,Travel,Airlines
44,EMBASSY SUITES,2024-03,KS,716.1100000000001,157057.90000000002,Travel,Lodging
45,HARD ROCK CASINO,2024-03,MI,328.91,16991.870000000003,Travel,Lodging (Casinos)
46,WESTIN,2024-05,WI,985.2899999999998,258990.49,Travel,Lodging
47,VRBO,2024-04,AR,982.01,807028.61,Travel,OTA
48,VIATOR,2024-03,RI,198.88,45493.85,Travel,OTA
49,PRICELINE,2024-05,HI,958.12,280286.43,Travel,OTA
50,FRONTIER AIRLINES,2024-01,MD,3227.27,551335.7699999999,Travel,Airlines
51,DELTA AIR LINES,2024-03,DE,1041.12,334245.74000000005,Travel,Airlines
52,DISNEY CRUISE LINE,2024-01,WI,416.66,373545.3,Travel,Cruises
53,AIRBNB,2024-06,IN,8466.880000000001,5461857.409999999,Travel,OTA
54,AMERICAN AIRLINES,2024-01,NY,55589.68,12863496.84,Travel,Airlines
55,HOLIDAY INN,2024-01,WY,347.47,43958.91,Travel,Lodging
56,BRITISH AIRWAYS,2024-01,AR,106.22000000000004,90753.93,Travel,Airlines
57,FRONTIER AIRLINES,2024-03,MO,1765.36,391688.5599999999,Travel,Airlines
58,FAIRFIELD INN & SUITES,2024-01,KY,472.93,91948.46000000002,Travel,Lodging
59,EMBASSY SUITES,2024-06,WI,908.6200000000002,280436.38000000006,Travel,Lodging
60,QATAR AIRWAYS,2024-01,SC,188.97000000000003,292511.57,Travel,Airlines
61,BEST WESTERN,2024-02,ME,514.63,103533.62,Travel,Lodging
62,PRINCESS CRUISE,2024-03,WA,1262.0500000000002,1648685.0299999996,Travel,Cruises
63,HOLIDAY INN EXPRESS,2024-01,ID,989.22,187422.62,Travel,Lodging
64,AIRBNB,2024-02,AZ,13295.63,8259521.209999999,Travel,OTA
65,MARRIOTT,2024-04,FL,17281.73,2520762.08,Travel,Lodging
66,HARD ROCK CASINO,2024-04,MO,206.95000000000005,14338.419999999996,Travel,Lodging (Casinos)
67,COURTYARD BY MARRIOTT,2024-03,NM,1460.37,192953.58,Travel,Lodging
68,DOUBLETREE,2024-06,MS,537.84,84426.69,Travel,Lodging
69,COURTYARD BY MARRIOTT,2024-03,MA,2047.17,294523.95000000007,Travel,Lodging
70,RESIDENCE INN,2024-03,NJ,1176.88,317843.00999999995,Travel,Lodging
71,BRITISH AIRWAYS,2024-05,LA,225.97000000000003,79932.29999999999,Travel,Airlines
72,TURKISH AIRLINES,2024-05,MD,874.9799999999999,910584.79,Travel,Airlines
73,RESIDENCE INN,2024-05,ID,420.8,90649.69,Travel,Lodging
74,HARD ROCK CASINO,2024-03,MD,314.36999999999995,26736.03,Travel,Lodging (Casinos)
75,HYATT REGENCY,2024-03,OH,2385.6200000000003,360505.07,Travel,Lodging
76,HAMPTON BY HILTON,2024-01,KY,1441.12,261623.59,Travel,Lodging
77,BEST WESTERN,2024-05,ID,2434.000000000001,458218.07,Travel,Lodging
78,DISNEY CRUISE LINE,2024-04,UT,269.42,209131.78,Travel,Cruises
79,ROYAL CARIBBEAN CRUISE,2024-01,TN,2876.3299999999995,1781486.8200000003,Travel,Cruises
80,EMBASSY SUITES,2024-01,FL,3269.0,678010.2099999998,Travel,Lodging
81,PRINCESS CRUISE,2024-05,UT,707.2900000000001,627061.05,Travel,Cruises
82,BRITISH AIRWAYS,2024-03,PA,2129.99,1313581.5300000005,Travel,Airlines
83,HOTELS.COM,2024-05,WY,787.04,160795.93000000002,Travel,OTA
84,SOUTHWEST AIRLINES,2024-01,AZ,26539.830000000013,6970695.94,Travel,Airlines
85,DISNEY RESORTS,2024-02,NH,278.06,197393.78000000003,Travel,Lodging
86,CELEBRITY CRUISES,2024-02,IA,263.97,160136.34,Travel,Cruises
87,LUFTHANSA,2024-04,NY,1330.1300000000003,735633.92,Travel,Airlines
88,HOTELS.COM,2024-05,MN,3104.7699999999995,934375.99,Travel,OTA
89,HOTELS.COM,2024-05,LA,1455.37,411489.17,Travel,OTA
90,HYATT REGENCY,2024-06,ID,379.82,68414.49999999999,Travel,Lodging
91,EMBASSY SUITES,2024-05,FL,4585.48,897730.0299999999,Travel,Lodging
92,LUFTHANSA,2024-01,CT,242.75,91523.41,Travel,Airlines
93,NORWEGIAN CRUISE,2024-02,PA,3299.73,4088167.81,Travel,Cruises
94,FAIRFIELD INN & SUITES,2024-05,WI,1837.0600000000004,379337.04,Travel,Lodging
95,JETBLUE AIRWAYS,2024-01,NY,70281.5,14020104.01,Travel,Airlines
96,HARD ROCK CASINO,2024-06,MO,157.88,6289.220000000001,Travel,Lodging (Casinos)
97,PRINCESS CRUISE,2024-02,ID,365.49000000000007,282133.37,Travel,Cruises
98,DISNEY RESORTS,2024-06,TN,1185.96,941458.55,Travel,Lodging
99,HOLIDAY INN,2024-05,NY,3802.719999999999,856045.8200000002,Travel,Lodging
100,EXPEDIA,2024-04,MO,4109.38,1099843.5699999996,Travel,OTA
101,ALASKA AIR,2024-06,LA,885.8,167462.25999999998,Travel,Airlines
102,VOLARIS,2024-04,LA,12.19,3004.35,Travel,Airlines
103,LUFTHANSA,2024-01,MA,937.64,489726.11,Travel,Airlines
104,HOLIDAY INN EXPRESS,2024-02,KY,1703.06,310025.6400000001,Travel,Lodging
105,CELEBRITY CRUISES,2024-05,UT,143.5,166196.90999999997,Travel,Cruises
106,FRONTIER AIRLINES,2024-05,WI,3059.9,475355.86,Travel,Airlines
107,AIRBNB,2024-01,KY,4292.85,2232001.090000001,Travel,OTA
108,HOLIDAY INN,2024-02,OK,406.3,91642.33,Travel,Lodging
109,DOUBLETREE,2024-02,SC,1580.4500000000005,296662.93999999994,Travel,Lodging
110,AIRBNB,2024-06,MT,3505.4300000000003,1909919.79,Travel,OTA
111,ALASKA AIR,2024-04,WI,1593.63,366479.96,Travel,Airlines
112,EXPEDIA,2024-02,WV,816.77,261375.49000000005,Travel,OTA
113,DISNEY RESORTS,2024-05,ID,206.55,149443.56,Travel,Lodging
114,HYATT REGENCY,2024-05,AL,1564.35,410370.8299999999,Travel,Lodging
115,DELTA AIR LINES,2024-03,CT,11759.88,3946467.0300000007,Travel,Airlines
116,HOLIDAY INN,2024-04,GA,4356.010000000001,831186.96,Travel,Lodging
117,EMBASSY SUITES,2024-06,KY,789.1499999999999,212586.71,Travel,Lodging
118,HOLLAND AMERICA,2024-04,ND,47.74,60861.8,Travel,Cruises
119,LUFTHANSA,2024-03,SC,661.8900000000001,361374.1900000001,Travel,Airlines
120,SOUTHWEST AIRLINES,2024-03,NC,8199.41,2320188.86,Travel,Airlines
121,EMIRATES AIRLINES,2024-06,NV,34.440000000000005,71851.91000000002,Travel,Airlines
122,BOOKING.COM,2024-04,ND,514.2399999999999,126895.51999999996,Travel,OTA
123,HOTELS.COM,2024-04,WI,3055.98,814203.0700000001,Travel,OTA
124,VRBO,2024-03,MA,1362.1,1312430.81,Travel,OTA
125,PRICELINE,2024-05,OR,2997.37,821350.8000000003,Travel,OTA
126,SOUTHWEST AIRLINES,2024-02,AL,6521.37,2116802.69,Travel,Airlines
127,MARRIOTT,2024-01,TX,15993.1,2744218.08,Travel,Lodging
128,PRINCESS CRUISE,2024-03,MI,511.24,625420.16,Travel,Cruises
129,HOLIDAY INN EXPRESS,2024-03,MS,2004.84,496507.54,Travel,Lodging
130,EMIRATES AIRLINES,2024-03,DE,35.31000000000001,92610.94,Travel,Airlines
131,AIRBNB,2024-05,NM,6134.98,3620591.76,Travel,OTA
132,HYATT REGENCY,2024-03,AR,331.5900000000001,39970.07,Travel,Lodging
133,HARD ROCK CASINO,2024-01,DE,96.06,5594.969999999999,Travel,Lodging (Casinos)
134,HOLLAND AMERICA,2024-01,MN,401.19,399775.42,Travel,Cruises
135,VRBO,2024-02,PA,5243.730000000002,5793612.770000001,Travel,OTA
136,AIRBNB,2024-06,GA,26860.39,19584720.06,Travel,OTA
137,VOLARIS,2024-04,CO,2108.0,821587.9,Travel,Airlines
138,HOTELS.COM,2024-04,IL,3499.39,1177563.4699999995,Travel,OTA
139,CELEBRITY CRUISES,2024-03,IN,260.45,181677.09,Travel,Cruises
140,HOLIDAY INN EXPRESS,2024-05,DE,418.97,104556.88999999998,Travel,Lodging
141,SOUTHWEST AIRLINES,2024-04,IN,8112.25,2697100.16,Travel,Airlines
142,EMBASSY SUITES,2024-05,TX,7604.839999999999,1792131.9,Travel,Lodging
143,COURTYARD BY MARRIOTT,2024-05,SC,3977.439999999999,624770.6200000001,Travel,Lodging
144,AMERICAN AIRLINES,2024-05,NE,9737.88,2220893.0900000003,Travel,Airlines
145,HILTON HOTELS,2024-02,HI,643.6600000000001,212511.34999999992,Travel,Lodging
146,CELEBRITY CRUISES,2024-03,NC,1482.61,1465003.7500000002,Travel,Cruises
147,EXPEDIA,2024-04,HI,1285.2700000000002,397354.56000000006,Travel,OTA
148,MARRIOTT,2024-02,PA,7569.029999999999,1529480.98,Travel,Lodging
149,BRITISH AIRWAYS,2024-01,TX,4507.709999999999,2896543.1,Travel,Airlines
150,CELEBRITY CRUISES,2024-06,NJ,817.7,639282.11,Travel,Cruises
151,DISNEY CRUISE LINE,2024-01,WA,203.54999999999995,233559.96,Travel,Cruises
152,COURTYARD BY MARRIOTT,2024-06,WY,323.93,61578.960000000014,Travel,Lodging
153,HOLIDAY INN,2024-03,NH,332.04,44561.56,Travel,Lodging
154,HYATT REGENCY,2024-02,VT,71.37,4909.37,Travel,Lodging
155,JETBLUE AIRWAYS,2024-04,AL,518.23,103782.14000000004,Travel,Airlines
156,EMBASSY SUITES,2024-04,UT,472.12,86619.44000000002,Travel,Lodging
157,NORWEGIAN CRUISE,2024-02,IA,717.62,737562.4500000001,Travel,Cruises
158,ALASKA AIR,2024-04,ID,5982.28,1217270.46,Travel,Airlines
159,EXPEDIA,2024-02,ID,2667.77,833612.23,Travel,OTA
160,HYATT REGENCY,2024-04,LA,704.56,140595.52000000002,Travel,Lodging
161,VIATOR,2024-04,MN,1917.81,412697.26,Travel,OTA
162,COURTYARD BY MARRIOTT,2024-05,MN,3758.67,625680.2100000001,Travel,Lodging
163,PRICELINE,2024-06,PA,6895.84,1894140.09,Travel,OTA
164,HILTON HOTELS,2024-06,AL,4197.03,1432218.5400000005,Travel,Lodging
165,EMBASSY SUITES,2024-05,OR,758.1700000000002,251903.25,Travel,Lodging
