,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,HOLIDAY INN EXPRESS,2022-07,NE,3181.4100000000003,709885.3899999998,Travel,Lodging
1,CELEBRITY CRUISES,2022-11,IA,167.98999999999995,98645.02999999998,Travel,Cruises
2,PRINCESS CRUISE,2022-05,TN,527.64,653366.96,Travel,Cruises
3,AMERICAN AIRLINES,2022-05,MI,8267.330000000002,2183169.8600000003,Travel,Airlines
4,DISNEY RESORTS,2022-07,DC,48.45,68427.17,Travel,Lodging
5,HARD ROCK CASINO,2022-07,KY,15.35,385.48,Travel,Lodging (Casinos)
6,UNITED AIRLINES,2022-11,NM,5693.469999999999,1444748.95,Travel,Airlines
7,HAMPTON BY HILTON,2022-01,SC,4048.31,841687.11,Travel,Lodging
8,BRITISH AIRWAYS,2022-06,IN,112.05,75276.14,Travel,Airlines
9,VOLARIS,2022-05,AL,58.93,19498.31,Travel,Airlines
10,DISNEY CRUISE LINE,2022-02,LA,27.23,190788.53,Travel,Cruises
11,SPIRIT AIRLINES,2022-12,MN,3608.81,627203.9199999998,Travel,Airlines
12,HILTON HOTELS,2022-07,MS,1238.9200000000003,487636.32,Travel,Lodging
13,NORWEGIAN CRUISE,2022-05,DC,106.93000000000002,54385.95,Travel,Cruises
14,VRBO,2022-07,NH,282.28,287440.5300000001,Travel,OTA
15,AMERICAN AIRLINES,2022-04,IN,12652.509999999998,3426511.539999999,Travel,Airlines
16,ALLEGIANT AIR,2022-04,MO,1568.8200000000004,434980.24,Travel,Airlines
17,DISNEY RESORTS,2022-05,MS,281.54,206073.84000000003,Travel,Lodging
18,EXPEDIA,2022-06,HI,1332.1699999999998,399212.94000000006,Travel,OTA
19,HOTELS.COM,2022-05,AL,2721.63,735115.4800000001,Travel,OTA
20,UNITED AIRLINES,2022-04,ID,7118.919999999999,1952007.12,Travel,Airlines
21,RESIDENCE INN,2022-10,AK,215.32,59160.03999999999,Travel,Lodging
22,PRICELINE,2022-03,IN,2745.6600000000008,726360.64,Travel,OTA
23,BOOKING.COM,2022-03,SC,2056.4,647037.0299999999,Travel,OTA
24,TURKISH AIRLINES,2022-07,UT,90.12000000000003,52715.30999999999,Travel,Airlines
25,LUFTHANSA,2022-12,PA,895.5400000000001,366548.17999999993,Travel,Airlines
26,PRINCESS CRUISE,2022-06,MA,99.38,66169.38,Travel,Cruises
