,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,MARRIOTT,2025-01,NM,792.47,175751.62000000002,Travel,Lodging
1,RESIDENCE INN,2025-03,NE,464.56,103109.83000000002,Travel,Lodging
2,DOUBLETREE,2025-06,MA,1614.25,245749.40000000005,Travel,Lodging
3,HOLLAND AMERICA,2025-07,MT,74.35000000000001,29488.560000000005,Travel,Cruises
4,ROYAL CARIBBEAN CRUISE,2025-02,CT,1271.53,907295.1599999996,Travel,Cruises
5,VRBO,2025-03,CT,1226.21,1357506.7899999998,Travel,OTA
6,CARNIVAL CRUISE LINES,2025-07,NM,502.4500000000001,308623.14,Travel,Cruises
7,HYATT REGENCY,2025-02,UT,866.1400000000001,120668.21,Travel,Lodging
8,HARD ROCK CASINO,2025-01,SC,468.0200000000001,23328.67,Travel,Lodging (Casinos)
9,HOTELS.COM,2025-03,AZ,4669.049999999999,1323031.2599999998,Travel,OTA
10,HILTON HOTELS,2025-06,UT,1824.92,430141.7400000001,Travel,Lodging
11,JETBLUE AIRWAYS,2025-02,KS,16.1,1348.64,Travel,Airlines
12,TURKISH AIRLINES,2025-01,WY,40.37,12214.37,Travel,Airlines
13,CELEBRITY CRUISES,2025-01,SD,38.41,15443.57,Travel,Cruises
14,MARRIOTT,2025-07,AR,708.2499999999998,118757.96999999996,Travel,Lodging
15,BRITISH AIRWAYS,2025-02,KS,147.01000000000002,34546.25000000001,Travel,Airlines
16,RESIDENCE INN,2025-01,CA,6357.719999999998,2099853.96,Travel,Lodging
17,NORWEGIAN CRUISE,2025-05,SD,170.34,247698.97,Travel,Cruises
18,VIATOR,2025-05,ID,499.7,111285.31000000004,Travel,OTA
19,HARD ROCK CASINO,2025-01,ID,12.279999999999996,576.35,Travel,Lodging (Casinos)
20,RESIDENCE INN,2025-07,CA,8125.15,2788114.12,Travel,Lodging
21,NORWEGIAN CRUISE,2025-05,CT,644.32,654022.99,Travel,Cruises
22,UNITED AIRLINES,2025-01,VA,35764.18000000001,9621037.999999998,Travel,Airlines
23,ALASKA AIR,2025-05,CO,2951.2000000000003,677466.4,Travel,Airlines
24,VOLARIS,2025-01,AZ,2607.309999999999,885029.1,Travel,Airlines
25,AIRBNB,2025-01,AL,7575.07,5024213.5,Travel,OTA
26,NORWEGIAN CRUISE,2025-05,NY,2656.4500000000003,2678879.59,Travel,Cruises
27,BOOKING.COM,2025-06,CA,43221.02999999999,18541071.29,Travel,OTA
28,MARRIOTT,2025-03,CT,3370.19,520681.00000000006,Travel,Lodging
29,DELTA AIR LINES,2025-01,MN,57901.20999999999,21223556.04,Travel,Airlines
30,HAMPTON BY HILTON,2025-05,CT,1553.21,362253.91,Travel,Lodging
31,MARRIOTT,2025-03,UT,3451.34,487281.03,Travel,Lodging
32,HOTELS.COM,2025-07,MT,698.0300000000001,188328.71000000005,Travel,OTA
33,VRBO,2025-06,ID,832.9099999999997,586510.74,Travel,OTA
34,JETBLUE AIRWAYS,2025-02,NE,32.84,5901.67,Travel,Airlines
35,DOUBLETREE,2025-01,CO,2005.0399999999995,298723.3300000001,Travel,Lodging
36,DISNEY CRUISE LINE,2025-05,MN,202.32,183530.02,Travel,Cruises
37,EMIRATES AIRLINES,2025-05,KS,72.32000000000001,111378.72,Travel,Airlines
38,DELTA AIR LINES,2025-06,GA,74369.72,20403918.83,Travel,Airlines
39,SOUTHWEST AIRLINES,2025-01,MS,2495.4400000000005,853546.2700000001,Travel,Airlines
40,EXPEDIA,2025-01,GA,9663.9,2965152.87,Travel,OTA
41,HILTON GARDEN INN,2025-07,NJ,2314.5600000000004,558567.6799999999,Travel,Lodging
42,NORWEGIAN CRUISE,2025-06,WA,1061.31,1060444.25,Travel,Cruises
43,HOLIDAY INN EXPRESS,2025-07,IN,3187.74,799392.7900000002,Travel,Lodging
44,VOLARIS,2025-06,KS,273.11,125730.52000000002,Travel,Airlines
45,UNITED AIRLINES,2025-04,IN,8412.54,2465805.4200000004,Travel,Airlines
46,HILTON GARDEN INN,2025-04,DE,302.4899999999999,57386.48000000001,Travel,Lodging
47,HOLLAND AMERICA,2025-04,RI,11.91,1953.39,Travel,Cruises
48,CARNIVAL CRUISE LINES,2025-02,RI,152.69,81216.24999999999,Travel,Cruises
