,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,BOOKING.COM,2025-05,CT,2364.5,959142.65,Travel,OTA
1,ROYAL CARIBBEAN CRUISE,2025-03,NM,388.43,391845.2300000001,Travel,Cruises
2,HILTON HOTELS,2025-06,SD,833.7199999999999,212183.44999999995,Travel,Lodging
3,BEST WESTERN,2025-06,FL,6638.159999999999,1380834.4699999995,Travel,Lodging
4,HILTON GARDEN INN,2025-02,WI,2276.2700000000004,388179.3,Travel,Lodging
5,LUFTHANSA,2025-07,NY,1819.97,939199.97,Travel,Airlines
6,UNITED AIRLINES,2025-04,CO,62044.7,14452014.680000003,Travel,Airlines
7,VOLARIS,2025-07,AZ,2523.96,865835.3000000002,Travel,Airlines
8,DOUBLETREE,2025-01,IL,2031.18,370185.8999999999,Travel,Lodging
9,FRONTIER AIRLINES,2025-06,FL,20057.930000000004,3418523.560000001,Travel,Airlines
10,NORWEGIAN CRUISE,2025-04,MT,107.71,109243.21,Travel,Cruises
11,HOLLAND AMERICA,2025-07,KS,170.66,124974.99,Travel,Cruises
12,FAIRFIELD INN & SUITES,2025-02,IN,1271.91,273111.6,Travel,Lodging
13,ALASKA AIR,2025-05,TX,11483.36,2358379.5500000003,Travel,Airlines
14,VRBO,2025-06,TX,12215.309999999998,8537555.74,Travel,OTA
15,TURKISH AIRLINES,2025-07,TX,2690.44,2373755.5400000005,Travel,Airlines
16,EMIRATES AIRLINES,2025-04,LA,10.06,751.17,Travel,Airlines
17,COURTYARD BY MARRIOTT,2025-08,NJ,4549.45,820466.2500000001,Travel,Lodging
18,DISNEY RESORTS,2025-03,DC,128.85,129700.79,Travel,Lodging
19,LUFTHANSA,2025-07,MO,272.85,179579.45,Travel,Airlines
20,ALLEGIANT AIR,2025-03,WY,270.61000000000007,88476.63999999998,Travel,Airlines
21,CELEBRITY CRUISES,2025-07,MI,586.04,473424.70000000007,Travel,Cruises
22,BOOKING.COM,2025-01,IA,1405.9000000000003,451819.1,Travel,OTA
23,TURKISH AIRLINES,2025-05,PA,721.92,677160.3899999999,Travel,Airlines
24,VRBO,2025-04,KS,1328.77,1389199.4900000002,Travel,OTA
25,EMBASSY SUITES,2025-01,GA,1829.91,418558.08,Travel,Lodging
26,VRBO,2025-05,NY,3856.4900000000007,4152265.959999999,Travel,OTA
27,EMIRATES AIRLINES,2025-01,MT,17.39,25421.76,Travel,Airlines
28,AIRBNB,2025-01,WA,18967.390000000007,12726083.71,Travel,OTA
29,HOLIDAY INN,2025-02,ME,378.42,36034.47,Travel,Lodging
30,ALASKA AIR,2025-06,TN,2777.9300000000003,487943.08,Travel,Airlines
31,WESTIN,2025-01,PA,2135.7,238466.27,Travel,Lodging
32,COURTYARD BY MARRIOTT,2025-05,ME,432.25,115476.79,Travel,Lodging
33,AIRBNB,2025-07,MD,12802.640000000005,9854393.029999996,Travel,OTA
34,RESIDENCE INN,2025-05,LA,397.2600000000001,122838.51,Travel,Lodging
35,AMERICAN AIRLINES,2025-08,IN,12604.16,3378845.95,Travel,Airlines
36,BEST WESTERN,2025-08,HI,103.57,26772.88,Travel,Lodging
37,SOUTHWEST AIRLINES,2025-07,VA,8705.15,2020825.85,Travel,Airlines
38,HYATT REGENCY,2025-07,IA,977.1200000000003,120503.81,Travel,Lodging
39,BRITISH AIRWAYS,2025-07,TN,1300.65,721241.7400000001,Travel,Airlines
40,BRITISH AIRWAYS,2025-01,DE,197.13,94960.57,Travel,Airlines
41,SOUTHWEST AIRLINES,2025-01,RI,1442.42,448826.9699999999,Travel,Airlines
42,CELEBRITY CRUISES,2025-05,KS,269.02,312451.22,Travel,Cruises
43,QATAR AIRWAYS,2025-02,PA,673.8100000000001,750483.58,Travel,Airlines
44,HOLIDAY INN,2025-06,RI,134.59,20073.44000000001,Travel,Lodging
45,RESIDENCE INN,2025-01,NC,1620.6699999999998,449036.4400000001,Travel,Lodging
46,UNITED AIRLINES,2025-08,IN,8171.23,1763203.5200000005,Travel,Airlines
47,WESTIN,2025-07,IN,489.3299999999999,118647.89999999997,Travel,Lodging
48,VRBO,2025-06,AZ,3280.9600000000005,2717902.29,Travel,OTA
49,EMIRATES AIRLINES,2025-02,WI,96.1,151670.36,Travel,Airlines
50,BOOKING.COM,2025-08,SD,672.82,199190.68,Travel,OTA
51,DOUBLETREE,2025-05,WY,241.70000000000005,38218.1,Travel,Lodging
52,HARD ROCK CASINO,2025-06,NJ,23160.15,1604050.62,Travel,Lodging (Casinos)
53,ALLEGIANT AIR,2025-03,SC,1431.15,334809.06000000006,Travel,Airlines
54,HOLIDAY INN EXPRESS,2025-08,GA,7033.37,1457160.7099999995,Travel,Lodging
55,HILTON HOTELS,2025-03,NH,530.29,138687.63999999996,Travel,Lodging
56,ALLEGIANT AIR,2025-05,TN,5265.139999999999,1209252.3100000003,Travel,Airlines
57,JETBLUE AIRWAYS,2025-04,GA,2108.78,398982.6100000001,Travel,Airlines
58,AMERICAN AIRLINES,2025-06,SD,3554.59,884588.74,Travel,Airlines
59,PRICELINE,2025-05,GA,6421.18,1678342.6100000003,Travel,OTA
60,ALLEGIANT AIR,2025-04,AZ,4973.359999999999,1404803.2199999995,Travel,Airlines
61,TURKISH AIRLINES,2025-06,AZ,262.77000000000004,230590.2,Travel,Airlines
62,NORWEGIAN CRUISE,2025-02,SD,155.58,98168.15,Travel,Cruises
63,SPIRIT AIRLINES,2025-08,OR,791.2000000000003,111335.46,Travel,Airlines
64,EXPEDIA,2025-02,MN,9714.24,3369991.5,Travel,OTA
65,QATAR AIRWAYS,2025-07,NJ,354.63,305370.15,Travel,Airlines
66,EMBASSY SUITES,2025-06,NH,37.61,14820.04,Travel,Lodging
