,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,HARD ROCK CASINO,2023-08,NV,152.11,8723.42,Travel,Lodging (Casinos)
1,FAIRFIELD INN & SUITES,2023-03,VT,114.2,20680.84,Travel,Lodging
2,RESIDENCE INN,2023-09,TN,1403.12,489405.0800000001,Travel,Lodging
3,BEST WESTERN,2023-08,IN,1699.08,454724.43000000005,Travel,Lodging
4,HILTON GARDEN INN,2023-05,NC,4817.58,1115684.3,Travel,Lodging
5,DISNEY RESORTS,2023-04,OK,311.99,260489.92,Travel,Lodging
6,WESTIN,2023-09,NJ,1386.4199999999998,382320.01,Travel,Lodging
7,BEST WESTERN,2023-05,UT,2153.4800000000005,557606.4900000001,Travel,Lodging
8,WESTIN,2023-07,MI,758.9599999999998,165703.78,Travel,Lodging
9,HOLIDAY INN,2023-05,NE,1346.9699999999998,248684.09,Travel,Lodging
10,HYATT REGENCY,2023-03,TN,1906.27,324937.98999999993,Travel,Lodging
11,CELEBRITY CRUISES,2023-07,SC,505.7699999999999,344649.5199999999,Travel,Cruises
12,DOUBLETREE,2023-08,DC,234.56000000000003,41421.85,Travel,Lodging
13,VOLARIS,2023-05,WA,2484.9500000000003,1150155.5200000005,Travel,Airlines
14,DOUBLETREE,2023-07,ME,334.77,85648.78999999998,Travel,Lodging
15,HYATT REGENCY,2023-09,UT,983.0699999999998,122288.86,Travel,Lodging
16,DISNEY RESORTS,2023-06,GA,2171.04,1316223.88,Travel,Lodging
17,DISNEY CRUISE LINE,2023-08,CO,214.04,247624.33000000005,Travel,Cruises
18,PRINCESS CRUISE,2023-01,KY,207.69,106876.08999999998,Travel,Cruises
19,BRITISH AIRWAYS,2023-08,OH,386.13000000000005,142033.51,Travel,Airlines
20,HILTON GARDEN INN,2023-04,MI,1480.5700000000004,318158.98000000004,Travel,Lodging
21,EMIRATES AIRLINES,2023-01,CO,111.15,130740.33,Travel,Airlines
