,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,HOLIDAY INN,2022-02,NV,586.5099999999998,98949.62,Travel,Lodging
1,HOLLAND AMERICA,2022-03,OH,171.0,233979.92,Travel,Cruises
2,MARRIOTT,2022-05,SC,4712.070000000001,879489.7,Travel,Lodging
3,BRITISH AIRWAYS,2022-06,WV,42.94,8334.88,Travel,Airlines
4,ALASKA AIR,2022-03,ME,454.1700000000001,182568.51000000004,Travel,Airlines
5,FRONTIER AIRLINES,2022-03,KY,898.6299999999999,167309.50999999995,Travel,Airlines
6,HAMPTON BY HILTON,2022-02,SC,4526.160000000001,1016655.08,Travel,Lodging
7,BEST WESTERN,2022-03,MD,1239.84,269691.49,Travel,Lodging
8,ALLEGIANT AIR,2022-04,TX,4992.37,1336931.66,Travel,Airlines
9,PRINCESS CRUISE,2022-04,NJ,168.21,284086.58,Travel,Cruises
10,FRONTIER AIRLINES,2022-01,OR,1252.5700000000002,178050.48,Travel,Airlines
11,VOLARIS,2022-02,WI,630.8200000000002,214673.19,Travel,Airlines
12,VRBO,2022-04,OK,1002.3,899227.42,Travel,OTA
13,HYATT REGENCY,2022-03,HI,351.48000000000013,62631.57,Travel,Lodging
14,WESTIN,2022-05,OH,646.38,138972.72,Travel,Lodging
15,EMIRATES AIRLINES,2022-03,IL,657.3699999999999,670093.9900000001,Travel,Airlines
16,QATAR AIRWAYS,2022-04,FL,625.37,955646.98,Travel,Airlines
17,VRBO,2022-06,DC,216.36000000000004,309886.21,Travel,OTA
18,COURTYARD BY MARRIOTT,2022-01,LA,1074.53,141171.41,Travel,Lodging
19,COURTYARD BY MARRIOTT,2022-06,PA,7633.72,1622286.7599999998,Travel,Lodging
20,MARRIOTT,2022-02,GA,6860.03,1105061.24,Travel,Lodging
21,HYATT REGENCY,2022-02,OR,740.5800000000002,116234.49999999996,Travel,Lodging
22,HAMPTON BY HILTON,2022-06,IL,4641.47,1177240.22,Travel,Lodging
23,FAIRFIELD INN & SUITES,2022-05,NM,856.5800000000002,190643.9100000001,Travel,Lodging
24,EMIRATES AIRLINES,2022-03,OK,50.00999999999999,59089.16,Travel,Airlines
25,MARRIOTT,2022-04,SD,764.2099999999999,152675.85,Travel,Lodging
26,AMERICAN AIRLINES,2022-01,CA,92119.87,17855076.050000004,Travel,Airlines
27,ALLEGIANT AIR,2022-06,SC,2462.42,463463.76,Travel,Airlines
28,TURKISH AIRLINES,2022-01,WV,47.47,35633.0,Travel,Airlines
29,HARD ROCK CASINO,2022-04,DC,11.61,116.25,Travel,Lodging (Casinos)
30,NORWEGIAN CRUISE,2022-04,MO,145.26999999999998,90387.51,Travel,Cruises
31,FRONTIER AIRLINES,2022-02,AK,106.50999999999998,22543.2,Travel,Airlines
32,AIRBNB,2022-06,OH,9004.499999999998,6301233.449999999,Travel,OTA
33,HYATT REGENCY,2022-04,OR,1224.38,179264.84000000008,Travel,Lodging
34,HOLIDAY INN,2022-01,NE,855.23,146801.77000000002,Travel,Lodging
35,PRINCESS CRUISE,2022-01,MS,243.5,94825.82,Travel,Cruises
36,BRITISH AIRWAYS,2022-03,NH,126.43,30070.27,Travel,Airlines
37,ALASKA AIR,2022-06,ID,7605.450000000001,1397699.9999999998,Travel,Airlines
38,HILTON HOTELS,2022-06,OH,2800.32,812246.3699999999,Travel,Lodging
39,TURKISH AIRLINES,2022-01,GA,884.7299999999999,677048.1,Travel,Airlines
40,VRBO,2022-06,ND,300.13,396551.82,Travel,OTA
41,DISNEY RESORTS,2022-05,MA,560.1,661691.91,Travel,Lodging
42,FAIRFIELD INN & SUITES,2022-02,MS,583.54,112188.72,Travel,Lodging
43,HOLIDAY INN,2022-04,NM,795.9000000000001,112406.31,Travel,Lodging
44,VRBO,2022-06,SC,4519.97,3723036.41,Travel,OTA
45,ROYAL CARIBBEAN CRUISE,2022-01,KS,312.78000000000003,199050.27,Travel,Cruises
46,SPIRIT AIRLINES,2022-01,AZ,2049.2200000000003,247660.4899999999,Travel,Airlines
47,BRITISH AIRWAYS,2022-01,AZ,646.13,499435.15,Travel,Airlines
48,BEST WESTERN,2022-02,MT,1393.59,288547.81999999995,Travel,Lodging
49,HOLIDAY INN EXPRESS,2022-04,OH,3196.99,766645.98,Travel,Lodging
50,UNITED AIRLINES,2022-04,TN,12344.359999999995,3228027.3000000007,Travel,Airlines
51,MARRIOTT,2022-02,MD,4532.56,807528.2299999999,Travel,Lodging
