,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,ALLEGIANT AIR,2023-07,WV,679.9199999999998,121186.30999999995,Travel,Airlines
1,PRICELINE,2023-06,LA,1558.11,391308.96,Travel,OTA
2,ALASKA AIR,2023-07,WI,2346.57,422522.54999999993,Travel,Airlines
3,HARD ROCK CASINO,2023-01,WA,29.849999999999994,1145.62,Travel,Lodging (Casinos)
4,VOLARIS,2023-06,NJ,201.65000000000003,66413.51,Travel,Airlines
5,FRONTIER AIRLINES,2023-07,VA,3070.56,587601.3799999998,Travel,Airlines
6,DELTA AIR LINES,2023-08,MI,18215.259999999995,5645243.67,Travel,Airlines
7,CELEBRITY CRUISES,2023-02,DC,12.260000000000002,3637.39,Travel,Cruises
8,ALLEGIANT AIR,2023-11,NV,2066.09,382659.06,Travel,Airlines
9,BEST WESTERN,2023-02,LA,1015.14,245714.51,Travel,Lodging
10,MARRIOTT,2023-02,MA,2903.8700000000003,577953.38,Travel,Lodging
11,PRICELINE,2023-10,LA,1297.74,371275.86,Travel,OTA
12,SPIRIT AIRLINES,2023-05,WV,493.66,80598.36999999998,Travel,Airlines
13,BRITISH AIRWAYS,2023-01,IL,850.7099999999999,334718.74,Travel,Airlines
14,SPIRIT AIRLINES,2023-11,NV,8793.75,1253558.91,Travel,Airlines
15,DISNEY RESORTS,2023-09,MA,613.6899999999998,722701.37,Travel,Lodging
16,HAMPTON BY HILTON,2023-10,MD,3491.37,930354.5100000002,Travel,Lodging
17,DISNEY CRUISE LINE,2023-08,MN,224.22,190416.94000000003,Travel,Cruises
18,HILTON GARDEN INN,2023-04,WA,2940.81,608795.89,Travel,Lodging
19,EMBASSY SUITES,2023-03,WV,140.82000000000002,34737.38,Travel,Lodging
20,EMIRATES AIRLINES,2023-05,RI,42.970000000000006,38556.94,Travel,Airlines
21,ALASKA AIR,2023-07,TX,15059.259999999997,2465733.3100000005,Travel,Airlines
22,ROYAL CARIBBEAN CRUISE,2023-07,MS,338.64,206112.48,Travel,Cruises
23,ALLEGIANT AIR,2023-10,VT,81.83,26797.39,Travel,Airlines
24,AIRBNB,2023-06,WY,1440.11,738569.2,Travel,OTA
25,AMERICAN AIRLINES,2023-11,TN,23151.63,5860440.7,Travel,Airlines
26,HILTON GARDEN INN,2023-10,NY,4191.26,1196830.1,Travel,Lodging
27,JETBLUE AIRWAYS,2023-11,CT,16113.23,3031547.11,Travel,Airlines
28,CARNIVAL CRUISE LINES,2023-04,LA,3054.2000000000003,1309620.75,Travel,Cruises
29,FRONTIER AIRLINES,2023-07,MO,2079.23,392484.6299999999,Travel,Airlines
30,HARD ROCK CASINO,2023-09,NY,88.39000000000001,12499.76,Travel,Lodging (Casinos)
31,UNITED AIRLINES,2023-01,SC,9337.759999999998,2097191.26,Travel,Airlines
32,TURKISH AIRLINES,2023-11,TX,2586.550000000001,2416246.29,Travel,Airlines
33,HOLIDAY INN,2023-08,CO,1826.41,324510.55,Travel,Lodging
34,HARD ROCK CASINO,2023-01,TX,175.21000000000004,17485.39,Travel,Lodging (Casinos)
35,BOOKING.COM,2023-01,NC,3386.4300000000007,1182554.2000000002,Travel,OTA
36,WESTIN,2023-05,MO,619.8999999999999,175063.24000000005,Travel,Lodging
37,HILTON GARDEN INN,2023-06,NE,1069.45,207212.94,Travel,Lodging
