,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,DELTA AIR LINES,2019-04,NV,7067.539999999999,1630934.7300000002,Travel,Airlines
1,QATAR AIRWAYS,2019-01,GA,715.35,653143.3200000002,Travel,Airlines
2,BEST WESTERN,2019-03,KS,1188.1999999999998,195884.04,Travel,Lodging
3,EMBASSY SUITES,2019-04,WI,863.0500000000002,215014.36,Travel,Lodging
4,VOLARIS,2019-04,AL,57.640000000000015,13628.22,Travel,Airlines
5,FAIRFIELD INN & SUITES,2019-04,CA,5465.61,1081092.68,Travel,Lodging
6,ROYAL CARIBBEAN CRUISE,2019-01,VA,2528.6599999999994,1826298.8700000003,Travel,Cruises
7,HARD ROCK CASINO,2019-02,TX,69.18999999999998,5158.75,Travel,Lodging (Casinos)
8,DOUBLETREE,2019-05,TX,9977.7,1467488.2399999995,Travel,Lodging
9,HYATT REGENCY,2019-02,WI,2229.55,392371.34,Travel,Lodging
10,EMIRATES AIRLINES,2019-02,MN,139.57,122260.34,Travel,Airlines
11,CELEBRITY CRUISES,2019-02,NM,75.41,50153.75,Travel,Cruises
12,BEST WESTERN,2019-03,NE,1212.7799999999995,190115.81,Travel,Lodging
13,HOLIDAY INN,2019-05,NC,5398.889999999999,933896.34,Travel,Lodging
14,CELEBRITY CRUISES,2019-04,MN,201.34,156472.59999999998,Travel,Cruises
15,MARRIOTT,2019-01,RI,343.72,95864.21999999996,Travel,Lodging
16,WESTIN,2019-01,WV,86.0,30029.74,Travel,Lodging
17,DOUBLETREE,2019-04,IN,1141.9499999999996,134452.81,Travel,Lodging
18,EMIRATES AIRLINES,2019-02,MT,5.83,9345.06,Travel,Airlines
19,HYATT REGENCY,2019-05,NY,3721.630000000001,632882.23,Travel,Lodging
20,EMBASSY SUITES,2019-01,NH,42.67999999999999,3567.34,Travel,Lodging
21,MARRIOTT,2019-04,GA,9748.059999999998,1390185.65,Travel,Lodging
22,SPIRIT AIRLINES,2019-02,IN,1571.5699999999997,337069.00999999995,Travel,Airlines
23,NORWEGIAN CRUISE,2019-04,MS,307.86,111767.22,Travel,Cruises
24,HILTON GARDEN INN,2019-05,PA,3712.92,714806.7099999998,Travel,Lodging
25,AIRBNB,2019-01,WY,990.49,299423.44999999995,Travel,OTA
26,CELEBRITY CRUISES,2019-03,WI,298.46,243231.44,Travel,Cruises
27,HYATT REGENCY,2019-05,DE,309.35,38572.51,Travel,Lodging
