,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,QATAR AIRWAYS,2022-04,NJ,321.39,408639.4900000001,Travel,Airlines
1,UNITED AIRLINES,2022-08,IA,17551.46,3734229.8200000008,Travel,Airlines
2,SPIRIT AIRLINES,2022-01,IA,802.4100000000001,177665.13999999998,Travel,Airlines
3,JETBLUE AIRWAYS,2022-07,NH,1437.77,331769.99999999994,Travel,Airlines
4,RESIDENCE INN,2022-05,DE,240.81,65914.36,Travel,Lodging
5,EMBASSY SUITES,2022-06,AK,54.54,10611.05,Travel,Lodging
6,EMIRATES AIRLINES,2022-08,NV,23.700000000000006,21238.67,Travel,Airlines
7,DELTA AIR LINES,2022-08,ME,2482.28,691927.65,Travel,Airlines
8,HOLLAND AMERICA,2022-07,MA,19.41,53779.87,Travel,Cruises
9,ALASKA AIR,2022-06,MI,1017.06,262652.9,Travel,Airlines
10,FAIRFIELD INN & SUITES,2022-07,ND,410.35,124951.73000000004,Travel,Lodging
11,HAMPTON BY HILTON,2022-01,DC,348.44,79806.33,Travel,Lodging
12,DELTA AIR LINES,2022-01,UT,28192.58,6693124.61,Travel,Airlines
13,BEST WESTERN,2022-02,DE,222.73999999999995,50953.46000000001,Travel,Lodging
14,EMIRATES AIRLINES,2022-07,MO,60.60999999999999,77213.14,Travel,Airlines
15,BEST WESTERN,2022-06,SD,1342.2299999999996,323898.24000000017,Travel,Lodging
16,DELTA AIR LINES,2022-04,AR,2702.4500000000003,820559.7899999999,Travel,Airlines
17,CARNIVAL CRUISE LINES,2022-06,TX,16293.989999999998,8235216.88,Travel,Cruises
18,LUFTHANSA,2022-06,WA,1422.0500000000004,744738.7900000002,Travel,Airlines
19,HOLLAND AMERICA,2022-01,ID,58.53,50866.74999999999,Travel,Cruises
20,HOTELS.COM,2022-08,VT,251.04,54688.06,Travel,OTA
21,BEST WESTERN,2022-02,PA,2327.21,482475.89,Travel,Lodging
22,UNITED AIRLINES,2022-05,AZ,15737.59,3700996.8200000008,Travel,Airlines
23,DISNEY CRUISE LINE,2022-06,NM,26.65,79663.49,Travel,Cruises
24,RESIDENCE INN,2022-07,NV,573.95,188217.09,Travel,Lodging
25,VRBO,2022-03,NJ,2531.860000000001,2685251.86,Travel,OTA
26,CARNIVAL CRUISE LINES,2022-08,KY,721.36,285201.00999999995,Travel,Cruises
27,QATAR AIRWAYS,2022-01,KY,13.74,4660.82,Travel,Airlines
28,DOUBLETREE,2022-01,PA,3206.18,506594.54,Travel,Lodging
29,HOLIDAY INN,2022-03,HI,134.73,7620.259999999999,Travel,Lodging
30,FAIRFIELD INN & SUITES,2022-08,OR,810.6400000000002,210961.43,Travel,Lodging
31,DOUBLETREE,2022-04,MN,2178.05,399022.31,Travel,Lodging
32,BOOKING.COM,2022-04,PA,3438.76,1264252.8099999998,Travel,OTA
33,QATAR AIRWAYS,2022-04,NE,81.75999999999999,89648.23,Travel,Airlines
34,FAIRFIELD INN & SUITES,2022-05,RI,93.43000000000002,36483.75000000001,Travel,Lodging
35,HILTON GARDEN INN,2022-01,MO,796.5899999999998,104930.31999999998,Travel,Lodging
36,MARRIOTT,2022-01,NM,562.57,140951.35,Travel,Lodging
37,HOTELS.COM,2022-08,IN,1490.9000000000003,476071.01000000007,Travel,OTA
38,LUFTHANSA,2022-05,NV,522.33,318561.54,Travel,Airlines
39,CELEBRITY CRUISES,2022-05,LA,148.27,331854.83,Travel,Cruises
40,SPIRIT AIRLINES,2022-08,MN,2877.9500000000007,567236.9899999999,Travel,Airlines
41,EMIRATES AIRLINES,2022-08,WV,11.24,3800.82,Travel,Airlines
42,DELTA AIR LINES,2022-07,OH,11585.359999999995,3014450.18,Travel,Airlines
43,HOTELS.COM,2022-03,VT,267.71000000000004,78761.69999999998,Travel,OTA
44,HYATT REGENCY,2022-05,SD,242.52,32369.06,Travel,Lodging
45,RESIDENCE INN,2022-02,WY,114.31999999999998,29828.04,Travel,Lodging
46,MARRIOTT,2022-03,NV,1618.5600000000004,300811.92,Travel,Lodging
47,WESTIN,2022-01,KS,156.38,17828.1,Travel,Lodging
48,PRINCESS CRUISE,2022-06,FL,2146.04,1582470.31,Travel,Cruises
49,JETBLUE AIRWAYS,2022-03,OR,1508.7799999999995,313114.26000000007,Travel,Airlines
50,TURKISH AIRLINES,2022-02,OH,217.47000000000003,143829.49,Travel,Airlines
51,LUFTHANSA,2022-04,NE,85.75999999999999,34734.04,Travel,Airlines
52,EXPEDIA,2022-05,CO,10977.01,3695660.1600000006,Travel,OTA
53,PRICELINE,2022-05,NH,420.49,112480.36999999998,Travel,OTA
54,RESIDENCE INN,2022-05,VT,138.33,45250.22,Travel,Lodging
55,HOTELS.COM,2022-05,WI,3313.8899999999994,807573.6900000001,Travel,OTA
56,FAIRFIELD INN & SUITES,2022-01,KS,570.4600000000002,88335.19999999998,Travel,Lodging
57,ROYAL CARIBBEAN CRUISE,2022-08,WY,121.80999999999996,115483.73,Travel,Cruises
58,BRITISH AIRWAYS,2022-01,VT,46.53,41082.57,Travel,Airlines
59,DELTA AIR LINES,2022-05,MI,18445.740000000005,5549254.19,Travel,Airlines
