,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,HOTELS.COM,2024-01,IL,3497.3299999999995,1081048.9300000002,Travel,OTA
1,HILTON GARDEN INN,2024-02,TX,8160.04,1403334.9099999997,Travel,Lodging
2,BEST WESTERN,2024-02,FL,3775.62,819830.6299999999,Travel,Lodging
3,VOLARIS,2024-02,CT,177.94,47836.1,Travel,Airlines
4,HOLIDAY INN EXPRESS,2024-03,DC,216.70000000000007,33898.13,Travel,Lodging
5,SPIRIT AIRLINES,2024-02,WI,4183.2300000000005,1109206.09,Travel,Airlines
6,EXPEDIA,2024-02,ND,1223.91,320453.35000000003,Travel,OTA
7,FAIRFIELD INN & SUITES,2024-01,IL,1552.8799999999997,390021.4799999999,Travel,Lodging
8,DOUBLETREE,2024-01,KY,471.1399999999999,91185.97,Travel,Lodging
9,SPIRIT AIRLINES,2024-02,SC,5922.269999999999,993237.76,Travel,Airlines
10,NORWEGIAN CRUISE,2024-01,DE,327.0700000000001,385076.42999999993,Travel,Cruises
11,QATAR AIRWAYS,2024-03,ND,33.61,47929.83,Travel,Airlines
12,HYATT REGENCY,2024-02,KS,973.82,80563.88999999997,Travel,Lodging
13,HOLIDAY INN EXPRESS,2024-02,KS,1626.1600000000003,296577.55000000005,Travel,Lodging
14,ALLEGIANT AIR,2024-02,IN,3445.36,1379093.2500000002,Travel,Airlines
15,UNITED AIRLINES,2024-03,NY,47583.74,11678070.14,Travel,Airlines
16,EXPEDIA,2024-01,AK,1131.37,340919.87,Travel,OTA
17,CELEBRITY CRUISES,2024-01,NC,1120.88,874445.0099999999,Travel,Cruises
18,VRBO,2024-03,WV,430.0099999999999,317584.52,Travel,OTA
19,ALASKA AIR,2024-03,DC,641.8699999999999,136695.38000000003,Travel,Airlines
20,CARNIVAL CRUISE LINES,2024-02,OR,719.5499999999998,468031.32000000007,Travel,Cruises
21,HOLIDAY INN,2024-01,KY,1006.08,183299.24,Travel,Lodging
22,HOLIDAY INN,2024-03,CA,6954.170000000003,1310459.6700000004,Travel,Lodging
23,DISNEY RESORTS,2024-02,WY,43.47,84465.20999999999,Travel,Lodging
24,UNITED AIRLINES,2024-01,IL,44029.72,9784942.239999996,Travel,Airlines
25,BOOKING.COM,2024-02,ND,343.04999999999995,103733.88,Travel,OTA
26,DELTA AIR LINES,2024-01,CT,11592.71,3730163.39,Travel,Airlines
27,HAMPTON BY HILTON,2024-02,KS,1682.8999999999996,302087.72,Travel,Lodging
28,EXPEDIA,2024-03,MN,10277.440000000002,3352296.219999999,Travel,OTA
29,WESTIN,2024-01,UT,443.25000000000006,107572.66999999995,Travel,Lodging
30,HILTON GARDEN INN,2024-03,DC,323.25,60385.48000000001,Travel,Lodging
31,FRONTIER AIRLINES,2024-01,VA,1860.26,355861.73,Travel,Airlines
32,HILTON HOTELS,2024-01,PA,5259.95,1336846.92,Travel,Lodging
33,ROYAL CARIBBEAN CRUISE,2024-02,VA,3664.69,2504854.8100000005,Travel,Cruises
34,BEST WESTERN,2024-01,NH,205.49,41704.84,Travel,Lodging
35,ALLEGIANT AIR,2024-01,WI,2795.14,1221167.4599999995,Travel,Airlines
36,EXPEDIA,2024-03,CO,10754.15,3307453.12,Travel,OTA
37,VIATOR,2024-02,ME,126.65,19952.77,Travel,OTA
38,LUFTHANSA,2024-03,IN,315.38,142625.88000000003,Travel,Airlines
39,ALASKA AIR,2024-02,SD,118.45000000000002,35908.35999999999,Travel,Airlines
40,CARNIVAL CRUISE LINES,2024-02,KS,1002.1,612928.29,Travel,Cruises
41,BEST WESTERN,2024-01,ND,460.98,100586.66,Travel,Lodging
42,AMERICAN AIRLINES,2024-01,IA,24528.44,6887331.46,Travel,Airlines
43,HILTON HOTELS,2024-01,WA,2989.1500000000005,958047.5400000004,Travel,Lodging
44,DISNEY CRUISE LINE,2024-01,OR,136.32,115279.71000000002,Travel,Cruises
45,HILTON GARDEN INN,2024-03,ID,748.89,142697.80000000002,Travel,Lodging
