,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,SOUTHWEST AIRLINES,2025-02,MA,3293.05,902115.94,Travel,Airlines
1,HOLIDAY INN EXPRESS,2025-02,TX,14211.920000000002,2702205.86,Travel,Lodging
2,FAIRFIELD INN & SUITES,2025-01,KY,456.46,73955.98,Travel,Lodging
3,EMBASSY SUITES,2025-01,HI,64.85999999999999,23066.2,Travel,Lodging
4,BRITISH AIRWAYS,2025-02,PA,2277.52,1199424.0,Travel,Airlines
5,FAIRFIELD INN & SUITES,2025-02,NY,2079.229999999999,443916.32000000007,Travel,Lodging
6,SPIRIT AIRLINES,2025-02,MS,1155.85,210169.09,Travel,Airlines
7,MARRIOTT,2025-01,DC,996.79,114694.72,Travel,Lodging
8,NORWEGIAN CRUISE,2025-01,HI,127.65,73375.09000000001,Travel,Cruises
9,HYATT REGENCY,2025-02,MD,1889.61,303286.86999999994,Travel,Lodging
10,VOLARIS,2025-02,HI,64.28999999999999,24066.06,Travel,Airlines
11,HOLIDAY INN EXPRESS,2025-02,HI,129.24,23811.11,Travel,Lodging
12,FAIRFIELD INN & SUITES,2025-01,FL,3991.99,809431.1399999998,Travel,Lodging
13,SOUTHWEST AIRLINES,2025-01,NM,7837.68,2620467.0600000005,Travel,Airlines
14,AMERICAN AIRLINES,2025-02,NC,72622.32999999999,20828763.21,Travel,Airlines
15,HILTON GARDEN INN,2025-02,OH,1410.59,238734.53,Travel,Lodging
16,HOTELS.COM,2025-01,NH,374.75,106439.03,Travel,OTA
17,EXPEDIA,2025-01,SD,1634.4,563786.6599999999,Travel,OTA
18,HOLIDAY INN EXPRESS,2025-02,WA,2398.0400000000004,486784.46,Travel,Lodging
19,FRONTIER AIRLINES,2025-01,ND,260.64,63716.350000000006,Travel,Airlines
20,ALLEGIANT AIR,2025-02,IN,3607.32,1314433.9,Travel,Airlines
21,HOLLAND AMERICA,2025-02,VA,303.89000000000004,285615.54,Travel,Cruises
22,AMERICAN AIRLINES,2025-02,NJ,19069.0,5036715.569999999,Travel,Airlines
23,HOLIDAY INN,2025-02,FL,5678.61,897112.1699999997,Travel,Lodging
24,MARRIOTT,2025-02,CA,24278.63,4342184.48,Travel,Lodging
25,ALLEGIANT AIR,2025-01,KY,1762.9399999999996,548051.12,Travel,Airlines
26,HOTELS.COM,2025-02,NE,954.2099999999998,234633.29,Travel,OTA
27,AIRBNB,2025-01,SC,9978.099999999997,6312289.200000001,Travel,OTA
28,VOLARIS,2025-01,WV,2.01,170.84,Travel,Airlines
29,HOLIDAY INN EXPRESS,2025-01,GA,4639.600000000001,909876.63,Travel,Lodging
30,ALASKA AIR,2025-02,DC,573.1,133173.96000000002,Travel,Airlines
31,UNITED AIRLINES,2025-01,PA,41750.810000000005,10553520.370000005,Travel,Airlines
32,HOLIDAY INN EXPRESS,2025-02,PA,4295.1900000000005,858656.87,Travel,Lodging
33,DISNEY CRUISE LINE,2025-02,AZ,298.43,461639.99,Travel,Cruises
34,JETBLUE AIRWAYS,2025-01,TN,768.3500000000001,91401.15999999996,Travel,Airlines
35,HILTON HOTELS,2025-02,NJ,2853.23,787839.1400000001,Travel,Lodging
36,VRBO,2025-02,MS,820.6400000000002,584383.8699999999,Travel,OTA
37,BOOKING.COM,2025-01,GA,4773.67,1700463.8100000003,Travel,OTA
38,HYATT REGENCY,2025-02,ND,316.6999999999999,41290.71,Travel,Lodging
39,HARD ROCK CASINO,2025-02,FL,329222.98000000004,19204062.290000003,Travel,Lodging (Casinos)
40,ROYAL CARIBBEAN CRUISE,2025-02,MS,586.0399999999998,496749.78,Travel,Cruises
41,VOLARIS,2025-02,MA,70.51,21293.960000000003,Travel,Airlines
42,AIRBNB,2025-01,TX,45414.87,26721482.49,Travel,OTA
