,BRAND_NAME,MONTH,STATE_ABBR,TRANS_COUNT,SPEND_AMOUNT,INDUSTRY_NAME,SUBINDUSTRY_NAME
0,MARRIOTT,2022-01,FL,12260.37,2410503.7,Travel,Lodging
1,ALASKA AIR,2022-05,WY,465.5999999999999,98543.22999999998,Travel,Airlines
2,LUFTHANSA,2022-03,ID,188.95,129839.76,Travel,Airlines
3,CARNIVAL CRUISE LINES,2022-05,NV,963.95,427894.69,Travel,Cruises
4,UNITED AIRLINES,2022-02,OH,11876.2,2210006.42,Travel,Airlines
5,SOUTHWEST AIRLINES,2022-08,NY,12863.9,2979137.5199999986,Travel,Airlines
6,HOLLAND AMERICA,2022-01,NE,14.6,9412.69,Travel,Cruises
7,LUFTHANSA,2022-10,OK,75.68,67756.79,Travel,Airlines
8,COURTYARD BY MARRIOTT,2022-05,ND,590.7299999999998,94624.59,Travel,Lodging
9,LUFTHANSA,2022-04,NY,1278.5600000000004,1010382.76,Travel,Airlines
10,AIRBNB,2022-11,WA,17734.9,10369551.61,Travel,OTA
11,FAIRFIELD INN & SUITES,2022-05,NC,4304.870000000001,932964.4100000004,Travel,Lodging
12,CARNIVAL CRUISE LINES,2022-05,MT,109.17000000000002,50388.91,Travel,Cruises
13,VRBO,2022-06,VT,178.75000000000003,158279.93,Travel,OTA
14,COURTYARD BY MARRIOTT,2022-06,SC,3929.3200000000006,703461.14,Travel,Lodging
15,MARRIOTT,2022-09,AZ,4679.72,814560.1099999999,Travel,Lodging
16,SPIRIT AIRLINES,2022-09,FL,56571.09999999999,9993447.21,Travel,Airlines
17,EMBASSY SUITES,2022-07,WV,220.32,75760.48999999999,Travel,Lodging
18,HOLIDAY INN EXPRESS,2022-03,TN,3418.37,810772.96,Travel,Lodging
19,HOLIDAY INN EXPRESS,2022-03,GA,5641.58,1184058.0799999998,Travel,Lodging
20,QATAR AIRWAYS,2022-01,WV,4.12,2588.3500000000004,Travel,Airlines
21,CARNIVAL CRUISE LINES,2022-08,OH,1393.4700000000005,639234.2100000002,Travel,Cruises
22,VOLARIS,2022-09,MI,65.69000000000001,26837.69,Travel,Airlines
23,DISNEY RESORTS,2022-09,MN,764.2900000000001,1046842.43,Travel,Lodging
24,HAMPTON BY HILTON,2022-03,ID,1575.13,343537.00000000006,Travel,Lodging
25,JETBLUE AIRWAYS,2022-01,LA,241.16000000000005,69006.06999999999,Travel,Airlines
26,HOLLAND AMERICA,2022-07,NM,94.28,84648.85999999999,Travel,Cruises
27,MARRIOTT,2022-07,HI,1641.8200000000002,172142.27,Travel,Lodging
28,HYATT REGENCY,2022-05,OR,1562.9599999999998,229947.46,Travel,Lodging
29,HILTON HOTELS,2022-01,VA,3249.8,841710.54,Travel,Lodging
30,EXPEDIA,2022-09,AZ,9315.160000000002,2424260.619999999,Travel,OTA
31,VOLARIS,2022-05,WI,708.61,247645.64000000004,Travel,Airlines
32,TURKISH AIRLINES,2022-10,ME,16.27,13658.91,Travel,Airlines
33,ALASKA AIR,2022-08,CO,3129.3900000000003,474624.22000000015,Travel,Airlines
34,SPIRIT AIRLINES,2022-08,WI,4058.12,791216.0900000001,Travel,Airlines
35,HOTELS.COM,2022-01,WY,830.05,171518.29000000004,Travel,OTA
36,UNITED AIRLINES,2022-02,NE,9579.490000000002,1637788.74,Travel,Airlines
37,DISNEY CRUISE LINE,2022-06,ID,6.979999999999999,7242.280000000001,Travel,Cruises
